brief_excerpt,age_group,how_to_apply_or_enroll_by,apply_online_call_to_action,program_category,population_served,updated_at
Las personas de la tercera edad pueden recibir una exención parcial de los impuestos inmobiliarios.,,"Las solicitudes deben franquearse a más tardar del 15 de marzo para que sus beneficios comiencen el 1 de julio de ese mismo año.\n (https://www1.nyc.gov/assets/finance/downloads/pdf/translations/sche_initial/sche-initial-span.pdf) Descargue e imprima la solicitud de exención inicial (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) y complétela. También puede llamar al 311 para que le envíen una por correo.\nCuando haga la solicitud, deberá dar el distrito, la manzana y el lote (BBL) de su casa. Use la herramienta de búsqueda de direcciones de viviendas para obtener esta información.\nReúna los documentos necesarios e inclúyalos en su solicitud. Su solicitud no se procesará sin ellos.\nEnvíe por correo su solicitud completada y los documentos necesarios a: New York City Department of Finance Homeowner Tax Benefits P.O. Box 311 Maplewood, NJ 07040-0311",Presente su solicitud en línea,Cash & expenses,"Older adults,Homeowners",2024-10-22T11:01:51.000
"Lors du dépôt de leur déclaration fiscale pour l’année 2024, les familles peuvent demander ce crédit d’impôt pouvant s’élever à $2,000 par enfant admissible de moins de 17 ans.",,"Si vous envoyez votre déclaration de revenus par la poste, remplissez leformulaire 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) et l’annexe 8812 (https://www.irs.gov/pub/irs-pdf/f1040s8.pdf) ‎.",,Cash & Expenses,Pregnant & new parents,2025-02-06T11:01:17.000
지원 대상 뉴욕 주민들이 거주 중인 주택에서 계속 거주할 수 있도록 지원하는 임대료 동결 프로그램,,"\n (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/drie/drie-initial-application-only.pdf) 최초 신청서를 인쇄하여 작성해주십시오. DRIE 지원 센터에서 신청서를 수령하거나 311번으로 전화하여 신청서를 우편으로 받을 수 있도록 요청할 수 있습니다.\n작성을 완료하고 서명한 신청서를 증빙 서류와 함께 다음으로 보내주십시오:Rent Freeze Program – DRIEP.O. Box 3179Union, NJ 07083",온라인 신청,Housing,"Immigrants,People with disabilities ,Seniors,Veterans",2022-03-23T11:01:33.000
বাড়ির মালিকেরা স্কুলের সম্পত্তি কর থেকে আংশিক ছাড় পেতে পারেন।,,"আপনি যদি আবেদন করেন সে বছর আপনার বয়স 65 বা তার বেশি হবে এবং 2015-16 সালে আপনার সম্পত্তিতে স্টার ছাড় পেয়েছেন, আপনি বর্ধিত স্টার (ই-স্টার) এর জন্য আবেদন করতে পারেন। এর জন্য আবেদন করতে পারে (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star-to-estar.pdf) STAR থেকে ESTAR (https://www1.nyc.gov/site/finance/benefits/landlords-star.page) ""-এর আবেদনপত্র সম্পূর্ণ করার মাধ্যমে NYC অর্থ দপ্তর (NYC Department of Finance (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star_appl.pdf) )-এ আবেদন করুন।আপনি যদি 2015 সাল বা তার আগে থেকে আপনার সম্পত্তির উপর মৌলিক STAR ছাড় পেয়ে থাকেন এবং তার পর থেকে যদি তা আর না পেয়ে থাকেন, তাহলে আপনি STAR সুবিধা ফিরে পাওয়ার আবেদন সম্পূর্ণ করে আপনার STAR ছাড় ফিরে পাওয়ার আবেদন করতে পান।রেন।",অনলাইনে আবেদন করুন,Cash & Expenses,Homeowners,2024-10-22T11:01:19.000
"Снижение налогов на недвижимость для ветеранов, участвовавших в определенных военных операциях.",,"Заявления должны быть отправлены по почте (по дате на почтовом штемпеле) до 15 марта, чтобы выплата пособия началась с 1 июля того же года.\n (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/veterans.pdf) Загрузите заявление об освобождении (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) и заполните его. Также вы можете позвонить по номеру 311, чтобы запросить отправку бумажной копии вам на адрес.\nПри подаче заявления вам понадобится информация о районе, блоке и лоте (Borough-Block-Lot, BBL) вашего дома.Для получения этой информации воспользуйтесь поиском по адресу недвижимости.\nСоберите необходимые документы и приложите их к заявлению. Ваше заявление не будет рассмотрено без них.\nОтправьте заполненное заявление и необходимые документы на адрес: New York City Department of Finance P.O.BOX 311 Maplewood, NJ 07040-0311",Подать заявку онлайн,Cash & expenses,"Veterans,Homeowners",2024-10-23T11:01:24.000
Zasiłek SNAP pomoże Ci wyżywić rodzinę świeżymi i zdrowymi artykułami spożywczymi.,,"\nWydrukuj (http://otda.ny.gov/programs/applications/4826.pdf) wniosek w formie papierowej (https://www1.nyc.gov/site/hra/locations/snap-locations.page) , wybierz jedno z centrów SNAP lub zadzwoń na infolinię HRA pod numer 718-557-1399, aby otrzymać wniosek pocztą.\nWniosek i kopie swoich dokumentów wyślij na adres: Division of SNAP Services, Mail Application & Referral Unit (MARU) P.O. Box 24510 Brooklyn, NY, 11201",Złóż wniosek online,Food,Everyone,2024-08-09T11:01:53.000
প্রবীণরা সম্পত্তি কর থেকে আংশিক ছাড় পেতে পারেন।,,"একই বছরের 1লা জুলাই থেকে শুরু হওয়া আপনার সুবিধার জন্য আবেদনপত্রগুলিকে 15ই মার্চের মধ্যে পোস্টমার্ক করতে হবে।\n (https://access.nyc.gov/wp-content/uploads/2017/12/SCHE-InitialAppl_BE.pdf) প্রাথমিক ছাড়ের আবেদনপত্রটি ডাউনলোড করে প্রিন্ট করুন (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) এবং সেটি পূরণ করুন। আপনাকে মেল করে একটি পাঠানোর জন্য আপনি 311 নম্বরে কল করতে পারেন।\nআবেদন করার সময়, আপনার বাড়ির বরো, ব্লক এবং লট (BBL) প্রয়োজন হবে। এই তথ্য পেতে সম্পত্তি ঠিকানা অনুসন্ধান (Property Address Search) ব্যবহার করুন।\nআপনার প্রয়োজনীয় নথি সংগ্রহ করুন এবং আপনার আবেদনের সাথে অন্তর্ভুক্ত করুন। আপনার আবেদনপত্র এগুলি ছাড়া প্রক্রিয়া করা হবে না।\nআপনার সম্পূর্ণ করা আবেদনপত্র এবং প্রয়োজনীয় নথিপত্র ডাকযোগে পাঠান এই ঠিকানায়: New York City Department of Finance Homeowner Tax Benefits P.O.BOX 311 Maplewood, NJ 07040-0311",অনলাইনে আবেদন করুন,Cash & Expenses,"Older adults,Homeowners",2024-10-22T11:01:21.000
Granmoun aje yo kapab jwenn yon egzanpsyon pasyèl nan taks sou pwopriyete yo.,,"Aplikasyon yo dwe gen so lapòs sou yo anvan 15 mas pou avantaj ou an kòmanse 1ye jiyè nan menm ane a.\n (https://www1.nyc.gov/assets/finance/downloads/pdf/translations/sche_initial/sche-initial-creo.pdf) Telechaje epi enprime premye aplikasyon egzanpsyon an (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) epi ranpli li. Ou kapab rele 311 tou pou w fè yo voye youn ba ou pa lapòs.\nLè w ap aplike, ou ap bezwen minisipalite, blòk, ak pasèl (BBL) pou kay ou a. Itilize zouti Rechèch Adrès Pwopriyete a pou w jwenn enfòmasyon sa yo.\nRasanble dokiman ki obligatwa yo epi mete yo nan aplikasyon w lan. Nou pa p travay sou aplikasyon w lan san yo.\nVoye aplikasyon ou ranpli a ak dokiman obligatwa yo nan: New York City Department of Finance Homeowner Tax Benefits P.O. Box 311 Maplewood, NJ 07040-0311",Aplike sou entènèt,Cash & expenses,"Older adults,Homeowners",2024-10-22T11:01:41.000
"Asistans Kach la ka ede w peye lwaye, peye bil ak lòt depans ki ijan yo.",,\n (https://otda.ny.gov/programs/applications/2921-HA.pdf) Enprime aplikasyon an (http://www1.nyc.gov/site/hra/locations/job-locations.page) epi ranpli li.\nPoste l oswa mete li nan Bwat Depo yon Sant Benefis Access HRA (http://www1.nyc.gov/site/hra/locations/job-locations.page) .\nN ap kontakte ou pou yon entèvyou nan telefòn. Ou kapab vizite tou yon Sant Benefis Access HRA pou yon entèvyou an pèsòn.,Aplike oswa renouvle sou entènèt,Cash & expenses,Everyone,2024-07-11T11:01:30.000
Réduction des impôts fonciers pour les anciens combattants admissibles ayant pris part à certains conflits.,,"Les demandes doivent être envoyées par courrier au plus tard le 15 mars pour commencer à recevoir les prestations le 1er juillet de la même année, le cachet de la poste faisant foi.\n (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/veterans.pdf) Téléchargez la demande d’exemption initiale (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) et remplissez-la. Vous pouvez également appeler le 311 pour demander l’envoi de ce formulaire.\nDans le cadre de votre demande, vous devrez indiquer l’arrondissement, le quartier et la parcelle de votre bien immobilier. Servez-vous de l’outil de recherche d’adresse de bien immobilier pour obtenir ces renseignements.\nRéunissez les documents demandés et joignez-les à votre demande. Votre demande ne sera pas traitée en l’absence de ces documents.\nRenvoyez votre formulaire dûment rempli et les documents demandés à l’adresse suivante : New York City Department of Finance P.O. Box 311 Maplewood, NJ 07040-0311",Déposez votre dossier en ligne,Cash & Expenses,"Veterans,Homeowners",2024-10-22T11:01:47.000
سجِّل لطفلك في برنامج صف ما قبل الروضة المجاني ذي نظام اليوم الكامل العالي الجودة.,,,التقدُّم لبرامج صف ما قبل الروضة,Education,"Children (0-13),Families,Immigrants,NYCHA residents,Students",2024-08-09T11:01:46.000
"2024년도 세금 신고 시 가족은 자격을 충족하는 만 17세 미만 자녀 한 명당 최대 $2,000의 해당 세금 공제를 신청할 수 있습니다.",,"세금 신고서를 우편으로 보내는 경우,양식 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) 및표 8812 (https://www.irs.gov/pub/irs-pdf/f1040s8.pdf) 를 작성하십시오.",,Cash & expenses,Pregnant & new parents,2025-02-06T11:00:53.000
Plan Sante Kalifye (Qualified Health Plans) se plan asiranssante ki mande pou ou peye yon kantite lajan chak mwa pou kouvètiasirans.,,"Aplike nan Medicaid atravè lapòs si ou se youn nan moun sayo:\nou gen 65 lane oswa plis\nou se yon avèg ki sètifye\nou se yon moun yo sètifye ki gen andikap\nou se yon moun ki nan yon enstitisyon epi ki aplike poupwoteksyon swen nan mezon retrèt.Ranpliaplikasyon (https://www.health.ny.gov/forms/doh-4220.pdf) an akfòm Sipleman A (https://www.health.ny.gov/forms/doh-5178a.pdf) a. Voye demann ou an pa lapòs nan: MAP InitialEligibility Unit PO Box 24390, Brooklyn, NY 11202",Enskri anliy,Health,"Everyone,Immigrants",2024-10-04T11:01:29.000
نقد اعانت سے آپ کو کرائے کی ادائیگی، یوٹیلیٹیز، اور دیگر ہنگامی اخراجات کی ادائیگی میں مدد مل سکتی ہے۔,,\n (https://otda.ny.gov/programs/applications/2921.pdf) درخواست پرنٹ کریں (http://www1.nyc.gov/site/hra/locations/job-locations.page) اور اسے مکمل کریں۔\nاس کو ایک HRA بینیفٹس ایکسس سینٹر (http://www1.nyc.gov/site/hra/locations/job-locations.page) میں بذریعہ ڈاک ارسال کروائیں یا ڈراپ باکس میں ڈال دیں۔\nآپ سے فون انٹرویو کیلئے رابطہ کیا جائے گا۔ بالمشافہ انٹرویو کے لیے آپ HRA بینیفٹس ایکسس سینٹر بھی تشریف لا سکتے ہیں۔,آن لائن اپلائی یا دوبارہ تصدیق کریں,Cash & Expenses,Everyone,2024-07-11T11:01:06.000
Услуги по обучению и уходу за детьми раннего возраста — до 10 часов в день.,,"\n (https://www1.nyc.gov/site/acs/early-care/forms.page) Загрузите бланк заявления на своем родном языке. (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) \nЗаполните его и отправьте по следующему адресу: NYC DOE Family Welcome Center 333 7th Ave 12th floor New York NY 10001Если вы уже получаете пособия HRA, можете также подать заявление в Центре выдачи пособий HRA, в который вас направили.",Подать заявление онлайн,Child care,"Children (0-13),Families,Pregnant & new parents",2024-08-13T11:01:04.000
"2024 年報稅時，家庭可以為每名符合條件的未滿 17 歲子女申請該項最高達 $2,000 的稅額抵免。",,如果您將郵寄報稅表，請填妥表格 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) 和附表 8812 (https://www.irs.gov/pub/irs-pdf/f1040s8.pdf) 。,,Cash & expenses,Pregnant & new parents,2025-02-05T21:16:14.000
Early child care and education services for up to 10 hours a day.,"Baby,Toddler","\n (https://www1.nyc.gov/site/acs/early-care/forms.page) Download the application in your language. (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) \nComplete and mail it to:NYC DOE Family Welcome Center333 7th Ave12th floorNew York NY 10001If you already get HRA benefits, apply at your assigned HRA Benefits Access Center instead.",Apply online,Child Care,"Families with children,Pregnant & new parents",2024-10-12T11:01:18.000
يمكن لملاك المنازل الحصول على إعفاء جزئي على ضرائب الأملاك.,,"يجب أن تكون الطلبات مختومة بختم بريدي بحلول 15 مارس حتى تبدأ مخصصاتك في الأول من يوليو من نفس العام.\n (https://access.nyc.gov/wp-content/uploads/2017/12/SCHE-InitialAppl_AR.pdf) قم بتنزيل وطباعة طلب الإعفاء الأولي (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) واملأه. يمكنك أيضًا الاتصال على الرقم 311 لإرسال ختم عبر البريد.\nعند التقديم، سوف تحتاج إلى منطقتك الإدارية والمربع السكني وقطعة الأرض (BBL) لمنزلك. استخدم البحث عن عنوان العقار (Property Address Search) للحصول على هذه المعلومات.\nاجمع المستندات المطلوبة وقم بتضمينها مع طلبك. لن يتم معالجة طلبك دونها.\nأرسل طلبك المكتمل والمستندات المطلوبة بالبريد إلى: New York City Department of Finance Homeowner Tax Benefits P.O. Box 311 Maplewood, NJ 07040-0311",التقدم بطلب عبر الإنترنت,Cash & expenses,"Older adults,Homeowners",2024-10-22T11:01:46.000
"Получите денежную компенсацию, если вы платили за уход о ребенке или взрослом иждивенце, пока работали или искали работу.",,Заполнитеформу 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) или (https://www.irs.gov/forms-pubs/about-form-1040-nr) форму 1040NR (https://www.irs.gov/pub/irs-pdf/f2441.pdf) и приложитеформу 2441‎.,Подать в Интернете,Cash & expenses,,2025-02-11T11:01:42.000
Les personnes âgées peuvent obtenir une exonération partielle de leurs impôts fonciers.,,"Les demandes doivent être envoyées par courrier au plus tard le 15 mars pour commencer à recevoir les prestations le 1er juillet de la même année, le cachet de la poste faisant foi.\n (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/sche-initial.pdf) Téléchargez la demande d’exemption initiale, imprimez-la (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) et remplissez-la. Vous pouvez également appeler le 311 pour demander l’envoi de ce formulaire.\nDans le cadre de votre demande, vous devrez indiquer l’arrondissement, le quartier et la parcelle de votre bien immobilier. Servez-vous de l’outil de recherche d’adresse de bien immobilier pour obtenir ces renseignements.\nRéunissez les documents demandés et joignez-les à votre demande. Votre demande ne sera pas traitée en l’absence de ces documents.\nRenvoyez votre formulaire dûment rempli et les documents demandés à l’adresse suivante : New York City Department of Finance Homeowner Tax Benefits P.O. Box 311 Maplewood, NJ 07040-0311",Déposez votre dossier en ligne,Cash & Expenses,"Older adults,Homeowners",2024-10-22T11:01:39.000
Section 8 pays part of the rent for low- and moderate-income families who want to rent in the private market.,Everyone,,,Housing,,2025-05-06T11:02:58.000
曾在特定衝突戰事中服役且符合資格的退伍軍人可享房地產稅減免優惠。,,"申請表以郵戳為憑，如果在 3 月 15 日前提出申請，則可自同年 7 月 1 日起領取福利。\n (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/veterans.pdf) 下載初次減免申請表 (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) 並填妥。您也可以撥打 311 索取郵寄申請表。\n申請時，需提供住址所屬行政區、街區和地段 (Borough, Block and Lot, BBL) 等資訊。請使用房地產搜尋工具 (Property Address Search) 查詢此資訊。\n備齊必要文件並與申請表一併繳交。如果資料不齊，申請將不予不受理。請將填妥的申請表和必要文件郵寄至：New York City Department of Finance P.O.BOX 311 Maplewood, NJ 07040-0311",線上申請,Cash & expenses,"Veterans,Homeowners",2024-10-22T11:01:49.000
سیکشن 8 کم اور متوسط آمدنی والے ان خاندانوں کیلئے کرایے کا کچھ حصہ ادا کرتا ہے جو نجی مارکیٹ میں کرایے پر لینا چاہتے ہیں۔,,,,Housing,,2025-05-28T11:01:43.000
高齡房主可以獲得財產稅的部分免除。,,"申請表以郵戳為憑，如果在 3 月 15 日前提出申請，則可自同年 7 月 1 日起領取福利。\n (https://access-nyc-s3-uploads.s3.amazonaws.com/uploads/2020/10/SCHE-InitialAppl_CH.pdf) 下載並列印初次減免申請表 (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) 並填妥。您也可以撥打 311 索取郵寄申請表。\n申請時，需提供住址所屬行政區、街區和地段 (Borough, Block and Lot, BBL) 等資訊。請使用房地產搜尋工具 (Property Address Search) 查詢此資訊。\n備齊必要文件並與申請表一併繳交。如果資料不齊，申請將不予不受理。\n請將填妥的申請表和必要文件郵寄至：New York City Department of Finance Homeowner Tax Benefits P.O.Box 311 Maplewood, NJ 07040-0311",線上申請,Cash & expenses,"Older adults,Homeowners",2024-10-22T11:01:40.000
"Lè y ap deklare taks yo pou 2024, fanmi yo ka reklame kredi taks sa ki gen yon valè ki ale jiska $2,000 pou chak timoun ki kalifye ki gen mwens pase 17 lane.",,"Si w ap voye deklarasyon taks ou pa lapòs, ranpliFòm 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) epiOrè 8812 (https://www.irs.gov/pub/irs-pdf/f1040s8.pdf) .",,Cash & expenses,Pregnant & new parents,2025-02-06T11:01:16.000
HEAP 協助符合資格的家庭支付住房供暖費用。,,"2024-25 年 HEAP 常規福利申請已於 2025 年 4 月 7 日結束。 (https://access-nyc-s3-uploads.s3.amazonaws.com/uploads/2023/11/LDSS-3421-Rev.-5-23.pdf) 下載並填寫申請表。 您可以透過以下方式提交您的申請：\n將申請表郵寄至： New York City Home Energy Assistance Program P.O. Box 1401, Church Street Station New York, NY, 10008\n請將您的申請表傳真至 917-639-2900。",線上申請,Cash & expenses,,2025-05-28T11:02:02.000
Los programas Head Start son gratis y duran un año hasta ocho horas por día.,"Toddler,Pre-Schooler",,,Child Care,NYCHA residents,2025-04-02T11:01:00.000
Un programa de congelamiento de la renta para ayudar a los neoyorquinos elegibles a conservar sus viviendas,,"\nImprima una (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/drie/drie-initial-application-only.pdf) solicitud inicial y complétela. También puede recoger uno en el Centro de Asistencia de DRIE o llamar al 311 para pedir que se le envíe una solicitud por correo.\nEnvíe por correo la solicitud completa y firmada con los documentos de respaldo a:Rent Freeze Program – DRIEP.O. Box 3179Union, NJ 07083",Presente la solicitud en línea,Housing,"Immigrants,People with disabilities ,Seniors,Veterans",2022-03-23T11:01:50.000
برامج Head Start‏ مجانية وتعمل على مدار العام لمدة ثماني ساعات على الأقل في اليوم.,,,,Child care,NYCHA residents,2025-04-02T11:01:16.000
降低殘疾房主的財產稅。,,"\n 下載初始豁免申請表並進行填寫。您也可以撥打 311 (https://a836-pts-access.nyc.gov/care/Search/Disclaimer.aspx?FromUrl=../search/commonsearch.aspx?mode=address) 以取得郵寄的申請表。\n您會被要求提供您的房屋所在的區、街區和地段 (BBL)。您可以使用財產地址搜尋來確定此資訊。\n收集您所需的文件，並將其包括在您的申請中。如果沒有它們，我們將不會處理您的申請。\n將填寫完的申請和所需文件寄送至： New York City Department of Finance P.O.BOX 311 Maplewood, NJ 07040-0311\n申請的郵戳時間必須在 3 月 16 日之前，以便您的福利能從當年 7 月 1 日開始。",線上申請,Cash & expenses,"People with disabilities ,Homeowners",2024-10-22T11:01:23.000
HEAP pomaga kwalifikującym się gospodarstwom domowym pokrywać koszty ogrzewania ich domów.,,"Przyjmowanie wniosków o regularne świadczenie HEAP na okres 2024–2025 zakończono 7 kwietnia 2025 r.‎ (https://access-nyc-s3-uploads.s3.amazonaws.com/uploads/2023/11/LDSS-3421-Rev.-5-23.pdf) Pobierzi wypełnij wniosek. Aby złożyć wniosek, można:\nWniosek należy przesłać na adres: New York City Home Energy Assistance Program P.O. Box 1401, Church Street Station New York, NY, 10008\nPrześlij wniosek faksem pod numer 917-639-2900.",Złóż wniosek online,Cash & Expenses,,2025-05-28T11:03:08.000
SNAP benefits can help you feed your family with fresh and healthy groceries.,Everyone,"\nPrint a (http://otda.ny.gov/programs/applications/4826.pdf) paper application (https://www1.nyc.gov/site/hra/locations/snap-locations.page) , pick one up from a SNAP Center, or call the HRA Infoline at 718-557-1399 to have a paper application mailed to you.\nMail the application and copies of your documents to:Division of SNAP Services, Mail Application & Referral Unit (MARU) P.O.Box 24510Brooklyn, NY, 11201",Apply online,Food,,2024-09-25T11:01:38.000
Les allocations SNAP peuvent vous aider à nourrir votre famille avec des aliments frais et sains.,,"\nImprimez un (http://otda.ny.gov/programs/applications/4826.pdf) formulaire de demande papier (https://www1.nyc.gov/site/hra/locations/snap-locations.page) , récupérez-en un dans un centre SNAP, ou appelez la permanence téléphonique de la HRA au 718 557 1399 pour demander l’envoi d’un formulaire de demande par voie postale.\nEnvoyez les demandes et les copies de vos documents par courrier postal à : Division of SNAP Services, Mail Application & Referral Unit (MARU) P.O. Box 24510 Brooklyn, NY, 11201",Déposer une demande en ligne,Food,Everyone,2024-08-09T11:01:56.000
Услуги в рамках программ Head Start предоставляются бесплатно и круглый год (по крайней мере восемь часов в день).,,,,Child care,NYCHA residents,2025-04-02T11:00:51.000
যোগ্য স্বাস্থ্য পরিকল্পনা Qualified Health Plan হল এমন এক ধরনেরস্বাস্থ্য বীমা পরিকল্পনা যেটিতে আপনি কভারেজ পাওয়ার জন্য প্রতি মাসেএকটি নির্দিষ্ট পরিমাণ অর্থ প্রদান করে থাকেন।,,"Medicaid এর কাছে মেইলের মাধ্যমে আবেদন করুন যদি আপনি হন:\n65 বছর বা তার বেশি বয়সী\nপ্রত্যয়িত অন্ধ\nপ্রত্যয়িত অক্ষম\nপ্রাতিষ্ঠানিক এবং নার্সিং হোম কেয়ার কভারেজ জন্য আবেদনকরেনআবেদনপত্র (https://www.health.ny.gov/forms/doh-4220.pdf) এবংসম্পূরক A ফর্মটি (https://www.health.ny.gov/forms/doh-5178a.pdf) সম্পূর্ণ করুন। আপনার আবেদন নিম্নলিখিত ঠিকানায় ডাকযোগে পাঠানMAP Initial Eligibility Unit PO Box 24390,Brooklyn, NY 11202:",অনলাইনে নথিভুক্ত করুন,Health,"Everyone,Immigrants",2024-10-04T11:01:07.000
ভাড়া সুস্থিত কর্মসূচি যোগ্য নিউ ইয়র্কবাসীদের নিজের বাড়িতে থাকতে সাহায্য করে,,"\n (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/drie/drie-initial-application-only.pdf) প্রাথমিক আবেদন প্রিন্ট করুন এবং এটিকে পূরণ করুন। এছাড়াও আপনি DRIE সহায়তা কেন্দ্র থেকে একটি বাছাই করতে পারেন বা 311 নম্বরে ফোন করে আপনার কাছে একটি আবেদন পাঠানোর অনুরোধ করতে পারেন।\nসহায়ক নথি সহ আপনার সম্পূর্ণ করা ও সই করা নথি ডাকযোগে পাঠান এই ঠিকানায়:Rent Freeze Program – DRIEP.O. Box 3179Union, NJ 07083",অনলাইনে আবেদন করুন,Housing,"Immigrants,People with disabilities, Seniors,Veterans",2022-03-23T11:01:35.000
Programy Head Start są bezpłatne i działają przez cały rok przez co najmniej osiem godzin dziennie.,,,,Child Care,NYCHA residents,2025-04-02T11:01:15.000
HEAP উপযুক্ত পরিবারগুলিকে তাঁদের গৃহগুলির উত্তাপ ব্যবস্থার মূল্য চোকাতে সাহায্য করে৷,,"2024-25 HEAP নিয়মিত সুবিধার (Regular Benefit) আবেদন গ্রহণের শেষ তারিখ ছিল7 এপ্রিল 2025। আবেদনপত্রটি (https://access-nyc-s3-uploads.s3.amazonaws.com/uploads/2023/11/LDSS-3421-Rev.-5-23.pdf) ডাউনলোডএবং সম্পূর্ণ করুন৷ আপনার আবেদন জমা দিতে, আপনি নিম্নলিখিতগুলির মধ্যে কোনো একটি করতে পারেন:\nআপনার আবেদন নিম্নলিখিত ঠিকানায় ডাকযোগে পাঠান:New York City Home Energy Assistance Program P.O. Box 1401, Church Street Station New York, NY, 10008\nআপনার আবেদনপত্রটি 917-639-2900 নম্বরে ফ্যাক্স করুন৷",অনলাইনে আবেদন করুন,Cash & Expenses,,2025-05-28T11:02:44.000
Rediksyon taks sou pwopriyete pou veteran ki kalifye ki te sèvi nan kèk konfli.,,"Aplikasyon yo dwe gen so lapòs sou yo anvan 15 mas pou avantaj ou an kòmanse 1ye jiyè nan menm ane a.\n (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/veterans.pdf) Telechaje premye aplikasyon egzanpsyon an (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) epi ranpli li. Ou kapab rele 311 tou pou w fè yo voye youn ba ou pa lapòs.\nLè w ap aplike, ou ap bezwen minisipalite, blòk, ak pasèl (BBL) pou kay ou a. Itilize zouti Rechèch Adrès Pwopriyete a pou w jwenn enfòmasyon sa yo.\nRasanble dokiman ki obligatwa yo epi mete yo nan aplikasyon w lan. Nou pa p travay sou aplikasyon w lan san yo.\nVoye aplikasyon ou ranpli a ak dokiman obligatwa yo nan: New York City Department of Finance P.O.BOX 311 Maplewood, NJ 07040-0311",Aplike sou entènèt,Cash & expenses,"Veterans,Homeowners",2024-10-22T11:01:49.000
Usługi opieki nad dzieckiem i edukacji do 10 godzin dziennie.,,"\n (https://www1.nyc.gov/site/acs/early-care/forms.page) Pobierz wniosek w swoim języku. (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) \nWypełnij go i odeślij pod adresem: NYC DOE Family Welcome Center 333 7th Ave 12th floor New York NY 10001Jeżeli otrzymujesz już świadczenia z Wydziału Zasobów Ludzkich (Human Resources Administration, HRA), możesz również złożyć wniosek we właściwym Centrum Dostępu do Świadczeń HRA (HRA Benefits Access Center).",Złóż wniosek online,Child Care,"Children (0-13),Families,Pregnant & new parents",2024-08-13T11:01:22.000
Qualified Health Plans صحت بیمہ کے ایسے منصوبے ہیں جن میں آپکوریج کے لیے ہر ماہ ایک مخصوص رقم ادا کرتے ہیں۔,,"اگر آپ ان میں سے ایک ہیں تو، ‏Medicaid‏ کے پاس بذریعہ ڈاکدرخواست دیں:\n65 سال یا اس سے زیادہ عمر کے\nسند یافتہ نابینا\nسند یافتہ معذور\nادارہ جاتی حیثیت رکھتے ہیں اور نرسنگ ہوم کیئر کی کوریج کیلئےدرخواست دے رہے ہیںدرخواست (https://www.health.ny.gov/forms/doh-4220.pdf) اورضمیمہ A فارم (https://www.health.ny.gov/forms/doh-5178a.pdf) مکمل کریں۔ اپنی درخواست اس پتے پر ڈاک سے بھیجیں: MAPInitial Eligibility Unit ,PO Box 24390 Brooklyn, NY11202",آن لائن اندراج کرائیں,Health,,2024-11-02T11:01:11.000
"« Section 8 » opłaca część czynszu dla rodzin o niskich i umiarkowanych dochodach, które chcą wynająć mieszkanie na rynku prywatnym.",,,,Housing,,2025-05-28T11:02:13.000
Inscrivez votre enfant à un programme Pre-K gratuit et à plein temps de qualité.,,,Faire une demande d’inscription au programme Pre-K,Education,"Children (0-13),Families,Immigrants,NYCHA residents,Students",2024-08-09T11:01:45.000
