plain_language_eligibility,get_help_by_email,get_help_by_calling_311,get_help_online,how_to_apply_or_enroll_online,program_acronym
\nআপনি যোগ্য কিনা তা নির্ধারণ করতে এই কর্মসূচি বেশ কয়েকটি বিষয় দেখে। এগুলির মধ্যে রয়েছআপনি কত টাকা উপার্জন করেন\nসুবিধাগুলি থেকে আপনি কত টাকা পাচ্ছেন\nআপনার পরিবারে কতজন লোক আছেে:,,311 এ কল করুন SNAP-এর জন্য অনুরোধ করুন।,ওয়েবসাইট ভিজিট করুন এই প্রোগ্রাম সম্পর্কে আরও জানতে SNAP-এর ওয়েবসাইট (https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page) দেখুন।,"\n (https://a069-access.nyc.gov/ACCESSNYC/application.do) ACCESS HRA (https://appsto.re/us/9s9N_.i) ব্যবহার করে অনলাইনে আবেদন করুন। আপনি তার সাথে নগদ সহায়তা, SNAP এবং Medicaid সবগুলির জন্য আবেদন করতে পারেন।\nNYC HRA ডকুমেন্ট আপলোড অ্যাপ ব্যবহার করে আপনার নথিগুলি স্ক্যান করুন যা (https://play.google.com/store/apps/details?id=gov.nyc.hra.DocUploads) iTunes Store (https://a069-access.nyc.gov/ACCESSNYC/application.do) (iPhone-এর জন্য) বা (https://a069-access.nyc.gov/ACCESSNYC/application.do) Google Play Store (Android ফোনের জন্য)-এ বিনামূল্যে পাওয়া যায়।\nআপনার আবেদন জমা দেওয়ার পর, আপনাকে একটি যোগ্যতা সাক্ষাৎকারে অংশগ্রহণ করতে হবে। SNAP কেন্দ্রে না এসে টেলিফোনে আপনার সাক্ষাৎকার হতে পারে।আপনার আবেদনের স্থিতি জানুন ACCESS HRA-তে গিয়ে।আপনাকে প্রতি বছর একবার SNAP-এর জন্য পুনঃপ্রত্যয়ন করতে হবে। SNAP অফিস আপনাকে একটি রিসার্টিফিকেশন (পুনর্প্রত্যায়ন) প্যাকেট ডাক মারফত পাঠাবে এবং সেটি পূরণ করে HRA-তে ফেরত পাঠাতে হবে। আপনি অনলাইনেও রিসার্টিফাই করাতে পারেনACCESS HRA ওয়েবসাইটে। একবার আপনার শংসাপত্র জমা দেওয়া হয়ে গেলে, একটি সাক্ষাত্কারের জন718-SNAP-Now (718-762-7669)-এ কল করুন।্য",SNAP
"DRIE کی اہلیت کے لیے آپ کو درج سوالات کے جوابات """"ہاں"""" میں دینے کے قابل ہونا چاہیئے:\nکیا آپ کی عمر 18 سال یا زیادہ ہے؟\nکیا لیز میں آپ کا نام شامل ہے؟\nکیا آپ کے گھرانے کی مجموعی سالانہ آمدنی $50,000 یا اس سے کم ہے؟\nکیا آپ اپنی ماہانہ آمدنی کے تیسرے حصے سے زیادہ رقم کرایہ پر خرچ کرتے/کرتی ہیں؟\nکیا آپ کو درج ذیل بینیفٹس سے آمدن حاصل ہوتی ہے؟\nSupplemental Security Income, SSI (ضمنی سیکیورٹی آمدن)\nFederal Social Security Disability Insurance, SSDI (وفاقی سماجی سیکیورٹی معذوری انشورنس)\nU.S. Department of Veterans Affairs (محکمہ برائے سابقہ فوجی معاملات، VA) معذوری کی پینشن یا معاوضہ\nمعذوری سے متعلق Medicaid، اگر آپ نے ماضی میں SSI یا SSDI وصول کی ہو\nکیا آپ NYC میں درج ذیل میں سے کسی قسم کی رہائش گاہ میں رہتے/رہتی ہیں؟\nمستحکم شدہ کرایہ کا اپارٹمنٹ\nکنٹرول شدہ کرایہ کا اپارٹمنٹ\nMitchell-Lama ڈیولپمنٹ\nلمیٹڈ ڈیویڈینڈ (Limited Dividend) ڈیولپمنٹ\nRedevelopment Company (ری ڈیولپمنٹ کمپنی) کی ڈیولپمنٹ\nHousing Development Fund Company (ہاؤسنگ ڈیولپمنٹ فنڈ کمپنی، HDFC) کی کوآپریٹو ڈیولپمنٹ\nسیکشن 213 کے تحت کوئی کوآپریٹو یونٹ\nزیر ضابطہ کرایہ کا کوئی ہوٹل یا سنگل روم کا کوئی رہائشی یونٹ",DRIE سے رابطہ کریںمحکمہ مالیات سے (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) مدد کی درخواست کریں۔,311 پر کال کریںDRIE ماہرین سے بات کرنے کا کہیں۔,ویب سائٹس ملاحظہ کریںمزید جاننے کے لیے NYC رینٹ فریز پروگرام کی ویب سائٹ (http://www1.nyc.gov/site/rentfreeze/index.page) ملاحظہ کریں۔COVID-19 کے دوران کرایہ منجمد کرنے کے پروگرام (SCRIE اور DRIE) کیلئے اکثر پوچھے گئے سوالات (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) کا جائزہ لیں۔,"آن لائن درخواست دیںاگر آپ پہلی بار DRIE کیلئے درخواست دے رہے ہیں، تو آپ آن لائن (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) درخواست دے سکتے ہیں۔ورچوئل اپائنٹمنٹ کے دوران درخواست دیںآپ (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) ورچوئل اپائنٹمنٹ کا شیڈول بنا کر DRIE میں درخواست دینے میں مدد حاصل کر سکتے ہیں۔ شیڈول بناتے وقت:\n""سلیکٹ سروس"" کے تحت، کرایہ دار اور مکان مالک کے استثنیٰ کے پروگراموں کا انتخاب کریں۔ پھر، ""رینٹل فریز (SCRIE یا DRIE) ابتدائی درخواست کا انتخاب کریں۔\n""منتخب مقام"" کے تحت، ""مرضی ورچوئل اپائنٹمنٹس"" کو منتخب کریں۔\nتاریخ اور وقت منتخب کریں۔ پھر، اپنی اپائنٹمنٹ لینے کیلئے اپنی رابطہ کی معلومات پُر کریں۔",DRIE
Do zapisania się do programów COMPASS uprawnieni są wszyscy uczniowie z miasta Nowy Jork w wieku od przedszkola do 12 klasy.Dla każdego programu mogą obowiązywać inne wymogi wiekowe i kwalifikacyjne.,,Należy zadzwonić pod numer 311Należy zapytać o „kompleksową pomoc związaną z programem zajęć pozalekcyjnych” (Comprehensive After School Program).,Przez InternetZachęcamy do zapoznania się z dodatkowymi informacjami na temat programu COMPASS w (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD.,Discover DYCD pozwala znaleźć programy prowadzone lokalnie. Na początku:\nNależy wejść na stronę Discover DYCD (https://discoverdycd.dycdconnect.nyc/programme-public?categoryList=Afterschool%20Programs) .\nWybrać „Programy pozalekcyjne” (afterschool programs) w polu kategorii i kliknąć „Szukaj”(Search).,COMPASS NYC
"Pi bon fason pou w konnen si fanmi w kalifye pou Pwogram Premye Kòmansman se kontakte yon pwogram dirèkteman. Fanmi ou ka kalifye si youn oswa plizyè nan sa yo aplike pou ou:\nOu ap viv nan lojman tanporè\nOu resevwa (https://access.nyc.gov/ht/programs/cash-assistance/) Èd Finansyè (Cash Assistance) nan Administrasyon Resous Imèn (Human Resources Administration, HRA) (https://access.nyc.gov/ht/programs/supplemental-nutrition-assistance-program-snap/) \nOu resevwa Pwogram Èd Nitrisyon Siplemantè (Supplemental Nutrition Assistance Program, SNAP)\nOu resevwa Asirans Sekirite Siplemantè (Supplemental Security Income, SSI)\nOu enskri yon timoun ki nan fanmi akèy\nRevni fanmi ou pi ba pase yon montan sa yo:\nKantite moun k ap viv nan kay la|Revni pa ane\n2|$21,500\n3|$26,650\n4|$32,150\n5|$37,650\n6|$43,150\n7|$48,650\n8|$54,150\n9|$59,650\n10|$65,150\nPou chak moun anplis|ajoute $5.500\nGen kèk sitiyasyon kote fanmi ou ka elijib pou Premye Kòmansman, menm si ou touche pi wo a limit revni.\nPa egzanp: si ou depanse plis pase 30% nan revni ou pou peye lojman, pwogram Premye Kòmansman yo ka kalkile si ou toujou kalifye apre yo retire depans lojman yo. Ou dwe soumèt dokiman ki enpòtan pou pwogram Premye Kòmansman yo ka evalye sitiyasyon ou.",,\nRele 311 epi mande pou “Premye Kòmansman” si w bezwen èd pou w kapab jwenn yon pwogam.,"\nAprann plis sou Premye Kòmansman atravè Depatman Edikasyon Vil New York (NYC Department of Education, NYCDOE) (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/head-start) .",,
"STAR 혜택의 유형은 두 가지로 Basic STAR 및 Enhanced STAR가 있습니다. 둘 중 한 가지 혜택의 자격 조건에 부합하려면 다음 모든 문항에 대한 답이 ‘예’여야 합니다.\n자산이 최소 1명의 소유주의 기본 주택입니까?\n다음 유형 중 하나의 주택에서 거주하고 계십니까?\n주택\n콘도\n조합식 아파트\n조립식 주택\n농장 주택\n다목적 이용 자산, 아파트 건물 포함(소유주 거주 부분이 자격에 해당하는 경우에만)Basic STAR의 경우 자격 대상이 되려면 다음 질문에 '예'라고 응답할 수 있어야 합니다.\n집에 거주 중인 모든 소유자와 배우자의 종합 소득이 연 $500,000 이하입니다.\n부동산을 소유하고 있었고, 2015∼2016년 기본 STAR 면제를 받았는데 이후에 혜택을 상실하였다면, 면제 혜택을 회복할 수 있습니다. 기본 STAR 혜택을 회복하려면, 소득이 $250,000 이하여야 합니다.Enhanced STAR의 경우 자격 대상이 되려면 다음 질문에 '예'라고 응답할 수 있어야 합니다.\n현재 기본 STAR 혜택을 받고 있는 경우, 신청하는 해에 만 65세 이상이면 상위 STAR 혜택 자격이 되실 수 있습니다 (https://www1.nyc.gov/site/finance/benefits/landlords-star.page) . 주택소유자 및 동거 배우자나 등록 동거인의 총 소득이 $92,000를 초과하면 안 됩니다.",STAR로 이메일 보내기STAR와 관련한 문의 사항은  (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) 뉴욕시 재무부(NYC Department of Finance)로 이메일을 보내주십시오.,311번으로 전화학교 세금 경감 프로그램에 대해 문의하십시오.,웹 사이트 방문자세한 내용은 STAR 웹 사이트 (https://tax.ny.gov/pit/property/star/default.htm) 에서 확인할 수 있습니다.,"재산을 소유하고 2015-16년에 STAR를 받았지만 나중에 혜택을 상실하여 복원을 원하는 경우 재무부에 Basic STAR를 신청할 수 있습니다.\n (https://www1.nyc.gov/assets/finance/jump/smartfile-estar-star.html) STAR/ESTAR 온라인 초기 지원 (https://www1.nyc.gov/assets/finance/jump/smartfile-star-estar-coop.html) \n (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_STAR) STAR/ESTAR 온라인 협동조합 최초 신청 (https://www.tax.ny.gov/pit/property/star/) 재무부에서 Enhanced STAR(E-STAR) 온라인을 신청할 수 있습니다.\nEnhanced STAR 자격이 있는 Basic STAR 수혜자라면,\n신청한 연도에 65세 이상이 될 것이며 2015-16년에 귀하의 재산에 대해 STAR 면제를 받은 적이 있는 경우.소득이 $250,000 이상이고 $500,000 이하인 경우 뉴욕주 STAR 세금 공제를 위해 온라인으로 등록하거나 518-457-2036번으로 전화하십시오.",STAR
"لتصبح مؤهلاً لبرنامج الإعفاء من زيادة الإيجار للمواطنين كبار السن (SCRIE) ، يجب أن تتمكن من الإجابة بنعم على الأسئلة التالية:\nهل تبلغ 62 عاماً أو أكبر؟\nهل اسمك مدرج في عقد الإيجار؟\nهل قيمة دخل الأسرة 50,000 دولار أمريكي أو أقل في العام؟\nهل تنفق أكثر من ثلث دخلك الشهري على الإيجار؟\nهل تعيش في مدينة نيويورك في أحد أنواع هذه المنازل؟\nشقة مستأجرة مستقرة\nشقة مستأجرة متحكم بها\nإيجار ينظمه فندق أو وحدة إشغال مكونة من غرفة واحدة\nشقق برنامج Mitchell-Lama\nشقق شركة Limited Dividend Housing Company\nشقق شركة Redevelopment Company\nشقق شركة Housing Development Fund Company",الاتصال ببرنامج SCRIE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) اطلب المساعدة (mailto:SCRIE@hpd.nyc.gov) من إدارة الشؤون المالية.إرسال رسالة بالبريد الإلكتروني إلى HPDلطرح الأسئلة المتعلقة ببرنامج SCRIE الخاضع لإشراف إدارة HPD، يُرجى التواصل عبر البريد الإلكتروني SCRIE@hpd.nyc.gov,اتصل بالرقم 311اسأل عن أخصائي SCRIE,تفضل بزيارة المواقع الإلكترونيةبادر بزيارة الموقع الإلكتروني لبرنامج تجميد الإيجار بمدينة نيويورك (http://www1.nyc.gov/site/rentfreeze/index.page) لمعرفة المزيد.راجع الأسئلة الشائعة (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) حول برنامج تجميد الإيجار أثناء جائحة كوفيد-19.إذا كنت تعيش في نطاق تطوير من إدارة HPD، فتفضَّل بزيارة الموقع الإلكتروني لإدارة HPD (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) لمعرفة المزيد حول برنامج SCRIE الخاضع لإشراف إدارة HPD.,"التقديم عبر الإنترنتإذا كنت ستقدم طلبًا للاستفادة من برنامج SCRIE للمرة الأولى، فيمكنك تقديم طلبك عبر الإنترنت (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) .تقدم بطلب من خلال موعد افتراضييمكنك الحصول على مساعدة في تقديم طلبك إلى SCRIE من خلال (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) تحديد موعد عبر الوسائل الافتراضيَّة. عند تحديد الموعد:\nضمن ""Select Service"" (تحديد الخدمة)، اختر برامج Renter and Homeowner Exemption Programs (برامج إعفاء المستأجرين وملاك المنازل). بعد ذلك، اختر ""Rent Freeze (SCRIE or DRIE) Initial application"" [الطلب المبدئي لتجميد الإيجار (SCRIE أو DRIE)].\nضمن ""Select Location"" (تحديد الموقع)، اختر ""Exemptions Virtual Appointments"" (مواعيد افتراضية للإعفاء).\nحدد تاريخًا ووقتا. بعد ذلك، قم بتعبئة بيانات الاتصال بك لإنشاء موعدك.",SCRIE
"To be eligible for DRIE, you should be able to answer ""yes"" to all of these questions:\nAre you 18 years old or older?\nIs your name on the lease?\nIs your combined household income $50,000 or less in a year?\nDo you spend more than one-third of your monthly income on rent?\nDo you live in NYC in one of these types of housing?\na rent stabilized apartment\na rent controlled apartment\na Mitchell-Lama development\na Limited Dividend development\na redevelopment company development\na Housing Development Fund Company (HDFC) Cooperative development\na Section 213 Cooperative unit\na rent regulated hotel or single room occupancy unit\nDo you have income from the following benefits?\nSupplemental Security Income (SSI)\nFederal Social Security Disability Insurance (SSDI)\nU.S. Department of Veterans Affairs (VA) disability pension or compensation\nDisability-related Medicaid if you received either SSI or SSDI in the past",Contact DRIE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) Ask for help from the Department of Finance.,Call 311 Ask about DRIE.,Learn more onlineVisit the NYC Rent Freeze Program website (http://www1.nyc.gov/site/rentfreeze/index.page) to learn more.,Complete the online application through the Department of Finance (DOF) (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) if you are applying for DRIE for the first time.You can get help applying to DRIE by (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) scheduling a virtual appointment with DOF.,DRIE
,,,تفضل بزيارة الموقع الإلكترونيتفضل بزيارة الموقع الإلكتروني لإدارة التعليم في مدينة نيويورك (NYC DOE) (https://www.schools.nyc.gov/school-life/food/free-meals-for-all) لمعرفة المزيد.,\nلم تعد الأسر بحاجة إلى ملء الطلبات للتأهل للحصول على مخصصات وجبة مجانية.\nقد يُطلب من الأسر ملء نموذج إثبات دخل الأسرة (https://www.myschoolapps.com/Home/PickDistrict) لمساعدة المدارس في الحصول على التمويل.,
"\n早期啟蒙教育計畫 要確認您的家庭是否符合早期啟蒙教育計畫的資格，最好是直接聯絡計畫。 如果您符合以下至少一種情況，則您的家庭可能有資格參與早期啟蒙教育計畫：您住在臨時住房內\n您正領取 HRA 現金援助\n您正領取 SSI（社會安全輔助保險）\n您正為受寄養照顧的兒童辦理登記手續\n如果您的家庭收入不高於以下金額，您也可能符合資格：\n 家庭人數| 年收入\n 1| $14,580\n 2| $19,720\n 3| $24,860\n 4| $30,000\n 5| $35,140\n 6| $40,280\n 7| $45,420\n 8| $50,560\n 每增加一人，增加：| $5,140\n \n 嬰幼兒計畫 您必須具有以下至少一項經核准的「照護理由」：您每週工作時數超過 10 小時\n您正參加教育或職業訓練計畫\n您開始找工作或找工作的時間已長達 6 個月。 這包括在領取失業福利金的同時找工作\n您住在臨時住房內\n您正接受家庭暴力相關服務\n您正在接受物質濫用相關治療\n如果您的家庭收入不高於以下金額，您可能符合資格：\n 家庭人數| 月收入| 年收入\n 1| $4,301| $51,610\n 2| $5,624| $67,490\n 3| $6,948| $83,370\n 4| $8,271| $99,250\n 5| $9,594| $115,130\n 6| $10,918| $131,010\n 7| $11,166| $133,987\n 8| $11,414| $136,965\n 9| $11,662| $139,942\n 10| $11,910| $142,920\n 11| $12,158| $145,897\n 12| $12,406| $148,875\n 13| $12,654| $151,852\n 14| $12,903| $154,830\n 15| $13,151| $157,807\n",,致電 311 如需協助尋找計畫，請諮詢「EarlyLearn」。,造訪網站 透過 NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/earlylearn-nyc) 瞭解關於托兒服務的更多資訊。,使用 MyCity 應用程式 (https://mycity.nyc.gov/s/childcarelanding?language=en_US&LanguageCode=en_US) 申請。,
"\nআর্লি হেড স্টার্ট প্রোগ্রাম আর্লি হেড স্টার্টের জন্য আপনার পরিবার যোগ্য কিনা জানার সবচেয়ে ভালো উপায় হলো প্রকল্পের সঙ্গে সরাসরি যোগাযোগ করা। আপনার পরিবার আর্লি হেড স্টার্টের জন্য যোগ্য হতে পারে যদি এই বিভাগগুলির মধ্যে কমপক্ষে একটিও আপনার ক্ষেত্রে প্রযোজ্য হযআপনি সাময়িক আবাসনে থাকেন\nআপনি HRA নগদ সহায়তা পান\nআপনি SSI (সম্পূরক নিরাপত্তা বিমা) পাচ্ছেন\nফস্টার কেয়ারে থাকা কোনও বাচ্চাকে নথিভুক্ত করছেনআপনার পরিবারের আকারের উপর নির্ভর করে, আপনার আয় ফেডারেল দারিদ্র্য স্তরে বা তার নিচ\n পরিবারের আকার\n বার্ষিক আয় 1| $14,580\n 2| $19,720\n 3| $24,860\n 4| $30,000\n 5| $35,140\n 6| $40,280\n 7| $45,420\n 8| $50,560\n প্রত্যেকজন অতিরিক্ত ব্যক্তির জন্য, যোগ করুন:| $5,140\n \n নবজাতক/টডলার প্রোগ্রাম আপনার অবশ্যই এই অনুমোদিত ""যত্নের কারণ""গুলির মধ্যে অন্তত একটি থাকতে হবে:আপনি প্রতি সপ্তাহে 10+ ঘন্টা কাজ করেন\nআপনি একটি শিক্ষা বা বৃত্তিমূলক প্রশিক্ষণ প্রোগ্রামে অংশ নিচ্ছেন\nআপনি কাজ খোজা শুরু করছেন অথবা 6 মাস ধরে কাজ খুঁজছেন। এর মধ্যে বেকারত্ব পাওয়ার সময় কাজ খোজা অন্তর্ভুক্ত রয়েছে\nআপনি সাময়িক আবাসনে থাকেন\nআপনি গার্হস্থ্য সহিংসতার পরিষেবাগুলিতে অংশ নিচ্ছেন\nআপনি পদার্থ অপব্যবহারের জন্য চিকিত্সা গ্রহণ করছেনআপনার পরিবারের আয় এই পরিমাণে বা তার কম হলে আপনি যোগ্য হতে পারেন:\n পরিবারের আকার| মাসিক আয়| বার্ষিক আয়\n 1| $4,301| $51,610\n 2| $5,624| $67,490\n 3| $6,948| $83,370\n 4| $8,271| $99,250\n 5| $9,594| $115,130\n 6| $10,918| $131,010\n 7| $11,166| $133,987\n 8| $11,414| $136,965\n 9| $11,662| $139,942\n 10| $11,910| $142,920\n 11| $12,158| $145,897\n 12| $12,406| $148,875\n 13| $12,654| $151,852\n 14| $12,903| $154,830\n 15| $13,151| $157,807\n ে।়:",,"311-এ ফোন করুন প্রোগ্রাম খুঁজতে সহায়তার জন্য ""EarlyLearn"" এর ব্যাপারে জিজ্ঞাসা করুন।",ওয়েবসাইট ভিজিট করুন NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/earlylearn-nyc) থেকে শিশু যত্ন সম্পর্কে আরও তথ্য পান।,MyCity অ্যাপ (https://mycity.nyc.gov/s/childcarelanding?language=en_US&LanguageCode=en_US) ব্যবহার করে আবেদন করুন।,
2020년에 태어난 모든 뉴욕시 아동은 2024~2025학년도 프로그램에 등록할 수 있습니다. 여기에는 장애 아동 (https://www.schools.nyc.gov/enrollment/enrollment-help/meeting-student-needs/students-with-disabilities) 이나 영어를 배우는 아동 (https://www.schools.nyc.gov/enrollment/enrollment-help/meeting-student-needs/students-learning-english) 도 해당됩니다. 아동은 Pre-K에 참여하기 전에 화장실 훈련을 받을 필요가 없습니다.,Pre-K 입학처에 이메일 보내기 Pre-K에 대한 문의 사항이 있는 경우 es_enrollment@schools.nyc.gov (mailto:ES_Enrollment@schools.nyc.gov) 에 이메일로 문의해 주십시오.,311에 전화하세요 Pre-K For All에 대한 정보를 문의하세요,웹사이트를 방문하십시오 NYC DOE Pre-K 웹사이트 (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) 를 방문해 Pre-K 입학 절차에 대해 자세한 내용을 살펴보십시오.,"MySchools (https://www.myschools.nyc/en/) 에서 2024년 1월 10일부터 2024년 3월 1 일까지 신청해 주십시오. 영어, 아랍어, 벵골어/방글라데시어, 중국어, 아이티 크레올어, 프랑스어, 한국어, 러시아어, 스페인어, 우르두어로 신청할 수 있습니다. MySchools에서 반일 Pre-K 프로그램도 신청하실 수 있습니다.",Pre-K
"يجب أن تستوفي المتطلبات الواردة أدناه لكي تكون مؤهلًا للخصم الضريبي للسنة الضريبية 2024.\nأن تكون قد حققت دخلًا مقداره 200,000 دولار أو 400,000 دولار إذا كنت متزوجًا وتقدم إقرارًا مشتركًا.\nتطالب بحق طفل في إقرارك الضريبي وكان هذا الطفل:\nأصغر من 16 عامًا\nيجب أن يكون للطفل رقم ضمان اجتماعي (Social Security Number, SSN)، أو رقم تعريف ضريبي للطفل المتبنى (Adoption Tax Identification Number, ATIN). يمكن لمقدم الإقرار استخدام رقم الضمان الاجتماعي أو رقم التعريف الضريبي لدافع الضرائب من الأفراد (Individual Taxpayer Identification Number, ITIN).\nيجب أن يكون الأطفال المؤهلون إما ابنك أو بنتك أو ربيبك أو طفلًا مُحتضنًا أو أخاك أو أختك أو أخاك من الأب أو الأم أو أختك من الأب أو الأم أو أخاك غير الشقيق أو أختك غير الشقيقة أو من ينحدر من هؤلاء (على سبيل المثال، حفيد أو بنت الأخ أو الأخت أو ابن أخ أو ابن أخت)\nيجب أن يكون الطفل أو المعال قد عاش معك لما يزيد عن نصف عام في الولايات المتحدة الأمريكية وأنت تطالب بحقه في إقرارك الضريبي بصفته معالًا.\nلا يستطيع طفلك أن يوفر لنفسه أكثر من نصف نفقته المالية.",,اتصل بالرقم 311 اطلب المساعدة في إعداد الضرائب.,تعرَّف على الخصومات الضريبية (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) التي يمكنك المطالبة بها.,قدِّم إقراراتك الضريبية مجانًا من خلالgetyourrefund.org (https://www.getyourrefund.org/) للمطالبة بالخصم الضريبي للطفل.,CTC
"SCHE کا اہل ہونے کے لیے، آپ کو ان تمام سوالات کا جواب ہاں میں دینے کے قابل ہونا چاہیے:\nکیا پراپرٹی کے تمام مالکان 65 سال یا اس سے زیادہ عمر کے ہیں؟  یا، اگر آپ شریک حیات یا بہن بھائی کے ساتھ پراپرٹی کے مالک ہیں، تو کیا آپ میں سے کسی کی عمر 65 سال یا اس سے زیادہ ہے؟\nکیا پراپرٹی آپ کی بنیادی رہائش ہے؟\nکیا تمام مالکان کی مشترکہ آمدنی $58,399 سے کم یا اس کے برابر ہے؟\nآمدنی میں SSI یا نقد اعانت کی مراعات شامل نہیں ہیں۔\nکیا آپ کم از کم 12 مہینوں سے مسلسل اپنی پراپرٹی کے مالک ہیں؟",,311 پر کال کریںسینئر سٹیزن ہوم اونرز اگزیمپشن پروگرام کا پوچھیں,ویب سائیٹ ملاحظہ فرمائیںمزید جاننے کے لیے SCHE کی ویب سائیٹ (http://www1.nyc.gov/site/finance/benefits/landlords-sche.page)  ملاحظہ فرمائیں۔,یکم جولائی کو مراعات شروع ہو جانے کے لیے 15 مارچ تک (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_DHE) آن (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_DHE) (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_SCHE_COOP) لائن درخواست دیں۔اگر آپ کو آپ میں رہتے ہیں توآپ SCHE کو آپس کی درخواست استعمال کر کے آن لائن درخواست دے سکتے ہیں۔اپنی املاک تلاش کرنے اور فارم پُر کرنا شروع کرنے کے لیے اپنا پتہ یا قصبہ، بلاک اور لاٹ (BBL) یا املاک کا پتہ استعمال کریں۔,SCHE
