program_description,how_to_apply_or_enroll_in,get_help_in_person,url_of_online_application,required_documents_summary,page_type,program_name
سیکشن 8 کم اور متوسط آمدنی والے ان خاندانوں کیلئے کرایے کا کچھ حصہ ادا کرتا ہے جو نجی مارکیٹ میں کرایے پر لینا چاہتے ہیں۔ اس پروگرام کے لیے اہلیت فیملی کی آمدنی اور فیملی کے سائز پر مبنی ہے۔ عام طور پر، خاندان اپنے کرایے کی مد میں اپنی ماہانہ آمدنی کے %40 سے زائد ادا نہیں کرتے ہیں۔ NYCHA باقی رقم جائیداد کے مالک کو ادا کرتا ہے۔,,کسی مقام پر جائیںایک اپائنٹمنٹ طے کر کے (https://wb-nycha.qmatic.cloud/) کسٹمر سروس سنٹر پر تشریف لے جائیں۔,,,,سیکشن 8 - ہاؤسنگ چوائس واؤچر
SCHE 針對擁有一到三戶房屋、公寓或合作公寓且符合收入規定的長者提供房地產稅減稅優惠。,親自前往財政局業務中心 (Department of Finance Business Center) (http://www1.nyc.gov/site/finance/pay-now/person.page) 辦理。,,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_dhe'},要申請 SCHE，您需要提供以下證明：\n您的年齡：您需要一份政府頒發的 ID 副本\n您的收入：所有房主的聯邦納稅申報表和計劃表/附表的副本。如果有任何房主是不提交納稅申報表的，則提供年收入證明。\n您的減免：\n未報銷的已支付醫療帳單的收據副本，其與您提交收入文件的年份或\n提交附表 A 的副本有關。根據您的申請，您可能需要一份信託協議、遺囑或其他法律文件。,Program,高齡公民房主豁免
"Lè y ap deklare taks yo pou 2024, fanmi yo ka reklame kredi taks sa ki gen yon valè ki ale jiska $2,000 pou chak timoun ki kalifye ki gen mwens pase 17 lane. Jiska $1,700 yo ranbousab, sa vle di ou ka jwenn lajan an menm si ou pa dwe okenn taks.",Jwenn èd gratis pou ranpli taks an pèsòn akNYC Free Tax Prep (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) .,,{'url': 'https://www.getyourrefund.org/'},Gade yon lis dokiman (https://www.nyc.gov/site/dca/consumers/file-your-taxes-documents.page) w ap bezwen pou ranpli taks ou epi deklare CTC ou a.,Benefit,Kredi taks timoun:
HEAP 協助低收入家庭支付住房供暖費用。 福利可用來支付燃料、您的公用事業來源、暖氣設備替換與修繕費用。 福利將直接支付給暖氣供應商或公用事業公司。 即使您的供暖費已包含在房租中，您仍有機會領取 HEAP。,您可透過造訪HEAP 辦事處 (https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result) 當面申請所有的 HEAP 組成項目。,,{'url': 'https://a069-access.nyc.gov/accesshra/'},,,家庭能源援助計畫
"Los programas Head Start dan entornos seguros y positivos para que los niños entre 3-4 años aprendan, jueguen y desarrollen las competencias que los prepararán para el kindergarten y el futuro. Head Start también presta servicios de salud, nutrición y otros a los niños y sus familias.","Para encontrar y solicitar un programa Head Start:\nVaya a MySchools (3-k) (https://www.myschools.nyc/en/schools/3k/) o MySchools (Pre-K) (https://www.myschools.nyc/en/schools/pre-k/) .\nHaga clic en “More Filters” (Más filtros). Marque la casilla ""Head Start"" en ""Year Round 3-K / Pre-K Programs "" (Programas de 3-K/Pre-K durante todo el año).\nEscriba su domicilio para buscar un programa.\nComuníquese con un programa que le interese.",,,,Service,Head Start
El DRIE ayuda a los inquilinos elegibles con discapacidades a vivir en viviendas asequibles con rentas congeladas. Los inquilinos pagan la renta congelada. Un crédito de impuesto inmobiliario cubre la diferencia entre la renta real y la congelada.,Encuentre un Centro de Asistencia del Departamento de Finanzas (Department of Finance Assistance Center) (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) cerca de usted para presentar su solicitud. Deberá programar una cita en un centro.,,,"Para solicitar DRIE tendrá que demostrar lo siguiente:\nQue recibe un beneficio por una discapacidad que califique (y la carta de asignación)\nSu edad\nSu renta\nSus ingresos y los de todos los integrantes del hogar que vivieron en su apartamento durante el año calendario anterior a la presentación de su solicitud. Por ejemplo, una solicitud presentada en 2018 deberá incluir información de los ingresos del hogar durante el año 2017. La prueba de ingresos puede incluir, entre otros documentos:\nDeclaraciones de impuestos\nBeneficios de Seguro Social\nDeclaración 1099/W2",Program,Exención del aumento de renta para personas con discapacidad
توفر برامج Head Start‏ بيئات آمنة وإيجابية للأطفال الذين تتراوح أعمارهم بين ‎3-4‏ أعوام كي يتعلموا، ويلعبوا، ويبنوا المهارات التي تعدهم للالتحاق بصف رياض الأطفال وما يليه. توفر البرامج أيضًا خدمات صحية وغذائية وخدمات أخرى للأطفال وأسرهم.,"لإيجاد برنامج رأس يبدأ‏ والتقدم بطلب للالتحاق به:\nتفضل بزيارة موقع MySchools (3-k‏)‎ (https://www.myschools.nyc/en/schools/3k/) ‏ أو موقع ‏MySchools (Pre-K‏)‏ (https://www.myschools.nyc/en/schools/pre-k/) ‏.\nانقر على ""More Filters‏ (المزيد من عوامل التصفية)"". حدد مربع الاختيار ""Head Start (رأس يبدأ)‏"" تحت ""‏Year-Round 3-K / Pre-K Programs‏ (برامج الروضة من عمر 3 أعوام/برامج ما قبل رياض الأطفال على مدار العام)"".\nاكتب عنوان منزلك للبحث عن برنامج.\nتواصل مع البرنامج الذي تهتم بالالتحاق به.",,,,Service,رأس يبدأ
擁有一到三間住宅、公寓或合作公寓的殘障人士可透過 DHE 降低其主要住所的房產稅。DHE 可降低房產稅達 5% 至 50%。房產稅的減免額度視家庭收入多寡而定。,親自前往財政部商務中心。,前往辦公室親自前往財政部商務中心 (http://www1.nyc.gov/site/finance/pay-now/person.page) （週一至週五，上午 8:30 至下午 4:30）獲得幫助。,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_DHE'},要申請 DHE，您需要提供以下證明\n您的殘障狀態：一個業主擁有以下其中一種狀態：\n來自社會安全局 (Social Security Administration) 的殘障獎勵副本信件\n鐵路退休委員會 (Railroad Retirement Board) 或美國郵政服務 (U.S Postal Service) 的殘障獎勵副本信件\n來自紐約州盲人委員會 (New York State Commission for the Blind) 的證書副本，或退伍軍人管理局的信函，聲明您有權獲得退伍軍人殘疾退休金。\n您的收入：所有房主的聯邦納稅申報表和計劃表/附表的副本。如果有任何房主是不提交納稅申報表的，則提供年收入證明。\n您的減免： \n未報銷的已支付醫療帳單的收據副本，其與您提交收入文件的年份或\n提交附表 A 的副本有關。,Program,殘疾房主豁免
"HEAP pomaga gospodarstwom domowym o niskich dochodach pokrywać koszty ogrzewania ich domów. Świadczenie może zostać przeznaczone na opłacenie paliwa, źródła zasilania oraz wymianę i naprawę urządzeń grzewczych. Świadczenie wypłacane jest bezpośrednio do sprzedawcy ogrzewania lub zakładu energetycznego. Świadczenia HEAP można otrzymywać, nawet jeśli ogrzewanie jest wliczone w czynsz.","Wniosek o wszystkie elementy programu HEAP można złożyć osobiście, odwiedzającbiuro HEAP (https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result) ‎.",,{'url': 'https://a069-access.nyc.gov/accesshra/'},,Program,"Program pomocy w zakresie pokrywania kosztów energii i ogrzewania (Home Energy Assistance Program, HEAP)"
"Get help paying for groceries with SNAP, previously known as food stamps. You'll get money on a debit card that can be used at many grocery stores and farmers markets.","\nPrint a (http://otda.ny.gov/programs/applications/4826.pdf) paper application (https://www1.nyc.gov/site/hra/locations/snap-locations.page) , pick one up from a SNAP Center (https://www1.nyc.gov/site/hra/locations/snap-locations.page) , or call the HRA Infoline at 718-557-1399 (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) to have a paper application mailed to you.\nGather the documents you'll need to include with your application.\nDrop off your completed application at a SNAP Center near you. You can make copies of your documents at the center.\nYou can also apply for SNAP at a community-based organization (CBO) in your neighborhood. Experts can help you submit your application and the necessary documents.",Visit a SNAP Center or Community OrganizationVisit a SNAP center (https://www1.nyc.gov/site/hra/locations/snap-locations.page) or your local Community-Based Organization (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) (CBO) to get help in person.,{'url': 'https://a069-access.nyc.gov/ACCESSNYC/application.do'},See the (https://www.nyc.gov/assets/hra/downloads/pdf/services/snap/eligibility_factors_and_suggested_documentation_guide.pdf) SNAP document guide to see the documents you'll need.,Benefit,Supplemental Nutrition Assistance Program
"Obtenez de l’aide pour payer vos courses avec le programme SNAP, qui auparavant s’appelait coupons alimentaires. Vous recevrez de l’argent sur une carte de débit que vous pourrez utiliser dans de nombreux supermarchés et marchés de producteurs.","\nImprimez un (http://otda.ny.gov/programs/applications/4826.pdf) formulaire de demande papier (https://www1.nyc.gov/site/hra/locations/snap-locations.page) , récupérez-en un dans un centre SNAP (https://www1.nyc.gov/site/hra/locations/snap-locations.page) , ou appelez la permanence téléphonique de la HRA au 718 557 1399 (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) pour demander l’envoi d’un formulaire de demande par voie postale.\nRéunissez les documents que vous devrez joindre à votre demande.\nDéposez votre demande dûment remplie dans un centre SNAP près de chez vous. Vous avez la possibilité de photocopier vos documents dans le centre.\nVous avez également la possibilité de soumettre une demande de participation au programme SNAP dans un organisme communautaire (Community-Based Organization, CBO) près de chez vous. Des experts peuvent vous aider à transmettre votre demande et les documents nécessaires.","Visitez un centre SNAP ou un organisme communautaire Rendez-vous dans un centre SNAP (https://www1.nyc.gov/site/hra/locations/snap-locations.page) ou dans votre organisme communautaire local (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) (Community-Based Organization, CBO) pour obtenir de l’aide en personne.",{'url': 'https://a069-access.nyc.gov/ACCESSNYC/application.do'},Consultez le (https://www1.nyc.gov/assets/hra/downloads/pdf/fia-1227a-french.pdf) guide de SNAP concernant les justificatifs pour voir les autres types de documents que vous pouvez utiliser à titre de justificatifs.,Benefit,Supplemental Nutrition Assistance Program
"Программы раннего развития Head Start обеспечивают детям в возрасте 3–4 лет безопасные и благоприятные условия для обучения, игр и развития навыков в рамках подготовки к дошкольному и дальнейшему обучению. В рамках программ Head Start детям и их семьям также предоставляются услуги в области здравоохранения, питания и др.","Чтобы найти программу Head Start и подать заявление на участие:\nПосетите портал MySchools (программы для детей от 3 лет) (https://www.myschools.nyc/en/schools/3k/) или MySchools (программы для детей дошкольного возраста) (https://www.myschools.nyc/en/schools/pre-k/) .\nНажмите «More Filters» (Дополнительные фильтры). Установите флажок перед пунктом Head Start в разделе Year-Round 3-K / Pre-K Programs (Круглогодичные программы для детей в возрасте 3 лет и дошкольного возраста).\nВведите свой домашний адрес, чтобы найти программы, предлагаемые поблизости.\nСвяжитесь с представителями программы, которая вас заинтересовала.",,,,Service,Программа раннего развития Head Start
"Qualified Health Plans বা যোগ্য স্বাস্থ্য পরিকল্পনা হল এমন একটিবেসরকারী স্বাস্থ্য বীমা পরিকল্পনা যেটিতে কভারেজ পাওয়ার জন্য আপনিমাসে মাসে একটি নির্দিষ্ট পরিমাণ অর্থ প্রদান করে থাকেন। এছাড়া,কোপেমেন্ট,ডিডাক্টিবল এবং কোইনসিওরেন্স (https://www.nyc.gov/site/ochia/coverage-care/insurance-a-z.page#C) -এর মতো নিজের পকেট থেকে অর্থপ্রদান করার খরচও আছে।",নাম নথিভুক্ত করার জন্য কোনো একজন (https://nystateofhealth.ny.gov/agent/hx_brokerSearch?fromPage=INDIVIDUAL) হেলথইন্স্যুরেন্স অ্যাসিস্টর বা স্বাস্থ্য বিমা সহকারী-এর সহায়তা নিন।,,{'url': 'https://nystateofhealth.ny.gov/'},"সরকারি স্বাস্থ্য বিমা প্ল্যানে নথিভুক্ত করার জন্য আপনার প্রয়োজনহবে:\nনাগরিকত্ব/অভিবাসন নথি যা আপনার বৈধ অভিবাসন অবস্থা নির্দেশকরে\nসোশ্যাল সিকিউরিটি নম্বর (Social Security Number, SSN)\nপরিবারে আবেদনকারী প্রত্যেকের জন্ম তারিখ\nবর্তমান কর্মসংস্থান তথ্য\nপরিবারের আয়",Benefit,যোগ্য স্বাস্থ্য পরিকল্পনা
DRIE প্রতিবন্ধী যোগ্য ভাড়াটিয়াদের তাদের ভাড়া সুস্থিত করে সাশ্রয়ী মূল্যের আবাসনে থাকতে সাহায্য করে। ভাড়াটিয়ারা সুস্থিত ভাড়া পরিশোধ করে। একটি সম্পত্তি ট্যাক্স ক্রেডিট প্রকৃত বাড়িভাড়ার রাশি এবং সুস্থিত বাড়িভাড়ার মধ্যে ফারাকটিকে কভার করে।,আবেদন করার জন্য আপনার কাছাকাছি অর্থ সহায়তা কেন্দ্রের বিভাগ (Department of Finance Assistance Center) (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) খুঁজুন। একটি কেন্দ্রে যাওয়ার জন্য আপনাকে একটি অ্যাপয়েন্টমেন্ট নির্ধারণ করতে হতে পারে।,,,"DRIE এর জন্য আবেদন করতে, আপনাকে নিম্নলিখিতটি পূরণ করতে হবে:\nআপনি একটি যোগ্য হয়ে প্রতিবন্ধী সুবিধা পান (এবং পুরস্কারের চিঠি)\nআপনার বয়স\nআপনার ভাড়া\nআপনার আয় এবং পরিবারের সকল সদস্য যারা আপনার আবেদন জমা করার আগের ক্যালেন্ডার বর্ষে আপনার অ্যাপার্টমেন্টে থাকতেন, তাদের আয়। উদাহরণস্বরূপ, 2018 সালে জমা দেওয়া একটি আবেদনকে 2017 সালের পরিবারের আয়কে অন্তর্ভূক্ত করতে হবে। অন্যান্য নথিগুলির মধ্যে, আয়ের প্রমাণ অন্তর্ভূক্ত করতে পারবেন:\nট্যাক্স রিটার্ন\nসামাজিক নিরাপত্তার সুবিধাগুলি\n1099/W2 স্টেটমেন্ট",Program,ডিজাবিলিটি রেন্ট ইনক্রিজ এক্সএম্পশন
"Programy Head Start zapewniają dzieciom w wieku 3-4 lat bezpieczne i pozytywne otoczenie do nauki, zabawy i rozwoju umiejętności potrzebnych w przedszkolu i dalszej edukacji. Program Head Start zapewnia także opiekę zdrowotną i żywieniową oraz inne usługi dla dzieci i ich rodzin.","Aby znaleźć program Head Start i złożyć wniosek, należy:\nPrzejść do MySchools (3-k) (https://www.myschools.nyc/en/schools/3k/) lub MySchools (Pre-K) (https://www.myschools.nyc/en/schools/pre-k/) .\nKliknąć opcję „Więcej filtrów” (More Filters). Zaznaczyć pole wyboru „Head Start” w opcji programów całorocznych „Year-Round 3-K / Pre-K Programs”.\nWpisać swój adres domowy, aby znaleźć program.\nSkontaktować się z wybranym programem.",,,,Service,Head Start
"HEAP কম-আয়ের পরিবারগুলিকে তাঁদের গৃহগুলির উত্তাপ ব্যবস্থার মূল্য প্রদানে সাহায্য করে৷ অনুদানটি জ্বালানী, আপনার ইউটিলিটিগুলির সংস্থান, তাপ সৃষ্টি করার যন্ত্রের বদল এবং মেরামতের জন্য অর্থ প্রদান করতে পারে৷ সুবিধাটি হিটিং ভেন্ডর বা ইউটিলিটি কোম্পানিকে সরাসরি প্রদান করা হয়। এমন কি আপনার ভাড়ার মধ্যে আপনার তাপের ব্যবস্থা ধরা থাকলেও আপনি HEAP পেতে পারেন৷",আপনি HEAP-এর সকল উপাদানগুলির জন্য সরাসরিHEAP অফিসে (https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result) গিয়ে আবেদন করতে পারেন।,,{'url': 'https://a069-access.nyc.gov/accesshra/'},,,হোম এনার্জি সহায়তা কার্যক্রমের
"Egzanpsyon pou veteran yo bese taks sou pwopriyete veteran ki kalifye yo, mari/madanm yo oswa mari/madanm ki vivan toujou ki pa remarye, ak paran sòlda ki mouri pandan yo nan sèvis [paran Zetwal Annò (Gold Star)].",Ale nan yon Sant Biznis Depatman Finans (http://www1.nyc.gov/site/finance/pay-now/person.page) .,,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_VET'},"Pou aplike pou Egzanpsyon Veteran, w ap bezwen pwouve bagay sa yo:\nSitiyasyon ou kòm Veteran: Kopi Fò, A DD 214 ( DD-214) ki se Sètifika Pou Soti Nan Fonksyon oswa papye separasyon pou chak veteran. \nPou chak veteran andikape, kopi lèt Administrasyon Veteran bay ki note kategori andikap la",Program,Egzanpsyon Veteran
Programy EarlyLearn zapewniają bezpłatną lub niedrogą opiekę i edukację dla dzieci w wieku od sześciu tygodni do dwóch lat. W całym mieście Nowym Jorku dostępne są setki programów oferujących bezpieczne i pozytywne środowisko nauki dla dzieci.,"\nOdszukaj program na stronie MySchools (https://www.myschools.nyc/en/schools/3k/) .\nKliknij opcję „More Filters” (Więcej filtrów) i zaznacz dowolną z opcji pod pozycją „EarlyLearn”.\nNastępnie wpisz swój adres domowy, aby znaleźć programy w swojej okolicy.\nOdwiedź placówkę programu. Pracownicy pomogą wypełnić wniosek.Jeżeli otrzymujesz już świadczenia z Wydziału Zasobów Ludzkich (Human Resources Administration, HRA), możesz również złożyć wniosek we właściwym Centrum Dostępu do Świadczeń HRA (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) (HRA Benefits Access Center).",,,,Program,Niemowlęta i małe dzieci
کوالیفائڈ ہیلتھ پلانز نجی صحت بیمہ کے وہ منصوبے ہیں جن میں آپکوریج کے لیے ایک مخصوص ماہانہ رقم ادا کرتے ہیں۔ اس میں فاضل اخراجاتبشمولمشترکہادائیگیاں، کٹوتیاں اور مشترکہ بیمہ (https://www.nyc.gov/site/ochia/coverage-care/insurance-a-z.page#C) بھی ہے۔,اندراج کروانے میں (https://nystateofhealth.ny.gov/agent/hx_brokerSearch?fromPage=INDIVIDUAL) صحتبیمہ اسسٹرکے ذریعے مدد پائیں۔,,{'url': 'https://nystateofhealth.ny.gov'},پبلک صحت بیمہ کے منصوبوں میں اندراج کرانے کیلئے، آپ کو ضرورتہوگی:\nشہریت/ترک وطن کی دستاویزات جو آپ کی قانونی ترک وطن کی حیثیت کوظاہر کرتی ہیں\nسوشل سیکیورٹی نمبر (SSN)\nگھرانہ کے درخواست دینے والے ہر فرد کی تاریخ پیدائش\nموجودہ ملازمت کی معلومات\nگھرانہ کی آمدنی\,Benefit,کوالیفائیڈ ہیلتھ پلانز
"« Section 8 » opłaca część czynszu dla rodzin o niskich i umiarkowanych dochodach, które chcą wynająć mieszkanie na rynku prywatnym. Kwalifikowalność do tego programu opiera się na dochodach i wielkości rodziny. Zasadniczo rodziny będą płacić maksymalnie 40% swoich miesięcznych dochodów na poczet udziału w czynszu. Nowojorski Urząd ds. Mieszkalnictwa (New York City Housing Authority, NYCHA) zapłaci pozostałą kwotę właścicielowi nieruchomości.",,Odwiedź biuroUmów się na (https://wb-nycha.qmatic.cloud/) wizytę w Centrum Kontaktu z Klientem.,,,Program,« Section 8 » – Program talonów na wybór zakwaterowania
"Les programmes Pre-K aident les enfants à prendre un bon départ à l’école et dans la vie. Votre enfant apprend à résoudre des problèmes, à poser des questions et à explorer le monde qui l’entoure, dans une communauté d’apprentissage sûre et enrichissante.",Faites une demande d’inscription dans un Centre d’accueil familial (Family Welcome Center) (https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers) entre le 10 janvier 2024 et le 1er mars 2024.,Rendez-vous dans un Centre d’accueil familial Rendez-vous dans un Centre d’accueil familial (http://nyc.gov/schools/welcomecenters) pour en savoir plus les programmes de maternelle.,{'url': 'https://www.myschools.nyc/fr/'},"Voir le check-list de pré-inscription (https://www.schools.nyc.gov/docs/default-source/default-document-library/pre-registration-checklist) pour en savoir plus sur les documents dont vous avez besoin pour pré-inscrire votre enfant et accepter son offre de pré-K. Pour obtenir des copies traduites de la liste de contrôle, consultez la section Documents du Page d'inscription au pré-K pour tous (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) .",Program,Pre-K pour tous
Le programme SCRIE aide les citoyens seniors (d’au moins 62 ans) admissibles à conserver leur logement à loyer modéré en gelant le loyer. Les locataires paient le montant gelé du loyer. Un crédit d’impôt immobilier couvre la différence entre le montant réel du loyer et le montant gelé du loyer.,Trouvez un Centre d’assistance du ministère des Finances (Department of Finance Assistance Center) (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) près de chez vous pour déposer une demande. Vous pouvez avoir besoin de prendre rendez-vous pour vous rendre dans un centre.,,{'url': 'https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page'},"Pour demander à bénéficier du programme SCRIE, vous devrez prouver les éléments suivants :\nvotre âge ;\nvotre loyer (documents relatifs à la location antérieurs et actuels, comme les contrats de location, etc.) ;\nvos revenus ainsi que les revenus de tous les membres du foyer vivant dans votre appartement au cours de l’année calendaire précédant votre demande. Par exemple, une demande soumise en 2018 devrait inclure les renseignements sur les revenus du foyer pour 2017. Justificatifs de revenus possibles :\ndéclarations d’impôts ;\nallocations de Sécurité sociale ;\ndéclaration 1099/W2.",Program,Exemption à l'augmentation des loyers des citoyens seniors
"শিশু ও নির্ভরশীল পরিচর্যা কর ক্রেডিট আপনাকে একজন শিশু বা প্রাপ্তবয়স্ক নির্ভরশীলের পরিচর্যা করার খরচের 50% পর্যন্ত ফেরত দেয়। আপনার 2024 সালের ট্যাক্স রিটার্নে, আপনি একজন যোগ্য ব্যক্তির পরিচর্যার খরচের জন্য $3,000 এবং দুই বা ততোধিক যোগ্য ব্যক্তির পরিচর্যার জন্য $6,000 পর্যন্ত দাবি করতে পারবেন।",নিউ ইয়র্ক সিটির বিনামূল্যে ট্যাক্স প্রস্তুতি (NYC Free Tax Prep) (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) -এর সাথে ব্যক্তিগতভাবে উপস্থিত হয়ে বিনামূল্যে ট্যাক্স ফাইল করার সহায়তা পান৷,,{'url': 'https://www.getyourrefund.org/'},,Benefit,চাইল্ড অ্যান্ড ডিপেন্ডেন্ট কেয়ারের ট্যাক্স ক্রেডিট
"NYC-তে শিক্ষার্থীরা COMPASS NYC এর মাধ্যমে শতাধিক আফটারস্কুল কর্মসূচিতে যোগ দিতে পারেন। COMPASS কর্মসূচির মাধ্যমে হোমওয়ার্কে সহায়তা, স্পোর্টস, আর্ট ও আরো অনেক কিছু প্রদান করা হয়। এগুলো বিনামূল্যের ও সারা শহরে অবস্থিত।","COMPASS NYC কর্মসূচিতে আপনার শিশুকে নথিভুক্ত করতে, আপনার শিশুর স্কুলের আফটারস্কুল কর্মসূচির কর্মীর সঙ্গে যোগাযোগ করুন।",আপনার সন্তানের স্কুলে যানআরও তথ্যের জন্য আপনার সন্তানের স্কুলের স্কুল ছুটির পরের কার্যক্রমের কোনও কর্মীর সঙ্গে কথা বলুন।,{'url': 'https://discoverdycd.dycdconnect.nyc/'},"আবেদন করার জন্য, আপনাকে আপনার সন্তানের পরিচয়ের নিম্নলিখিত প্রমাণগুলির মধ্যে একটি প্রদান করতে হবে:\nজন্ম সনদ\nন্যাচারালাইজেশন সার্টিফিকেট\nসরকারী জন্ম রেকর্ড\nঅফিসিয়াল স্কুল রেকর্ড\nপাসপোর্ট\nIDNYC\nদত্তক নেওয়ার রেকর্ড\nব্যাপটিসমাল বা অন্য ধর্মীয় শংসাপত্র",Program,NYC এর কম্প্রিহেনসিভ আফটারস্কুল সিস্টেম
도움이 필요할 때 가족이 현금을 받으실 수 있습니다. 많은 가족이 직불카드에 자금을 충전받아 EBT 카드를 받는 ATM이나 상점에서 사용할 수 있습니다. 일부 가족은 임대주에게 바로 지불되는 자금을 받을 자격만 인정될 수 있습니다.,"운영 중인 HRA 혜택 접근 센터 (http://www1.nyc.gov/site/hra/locations/job-locations.page) 를 방문해 신청하세요. 방문 시 신분, 거주 지역, 함께 사는 사람, 소득 등에 대한 증빙 서류가 준비되어 있다면 도움이 됩니다. 어떤 증빙 자료를 반드시 제공해야 하는지는 직원이 알려 드립니다.",,{'url': 'https://a069-access.nyc.gov/ACCESSNYC/application.do'},"현금 지원을 신청하려면 다음을 증명해야 합니다.\n신원: 사진 부착 ID, 운전 면허증, 여권, 귀화 증명서 또는 병원 기록 등.\n거주 증명: 임대인 진술서, 현재 임대료 영수증 또는 모기지 내역서 등.\n소득(있는 경우): 현재 급여 명세서, 사업 기록, 현재 소득 신고서 또는 실업 급여금 내역서 등.\n시민권 또는 체류 신분: 출생증명서 또는 미국 여권 또는 군대 기록 등.증명서로 사용할 수 있는 서류를 확인하려면 (https://www1.nyc.gov/assets/hra/downloads/pdf/fia-1227a-korean.pdf) 현금 지원 서류 가이드를 확인하십시오.",Benefit,현금 보조금
STAR 針對住在紐約州學區內且符合資格的屋主提供房地產稅減稅優惠,,"前往中心尋找 (http://www1.nyc.gov/site/finance/about/contact-us.page) 中心, 獲得當面幫助。",{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_STAR'},,Benefit,學校稅收減免計劃
"SCRIE помогает пожилым гражданам (в возрасте 62 лет и старше), соответствующим критериям отбора, оставаться в доступном жилье благодаря неизменяемой арендной плате. Жильцы платят ту же арендную плату. Налоговый вычет на недвижимость покрывает разницу между фактической суммой арендной платы и фиксированным платежом арендатора.","Для подачи заявки обратитесь в ближайший центр помощи Департамента финансов (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) . Возможно, вам нужно будет записаться для визита в центр.",,{'url': 'https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page'},"Чтобы подать заявку на участие в программе SCRIE, вам нужно предоставить документы, подтверждающие следующее:\nсвой возраст,\nсумму арендной платы (любые предыдущие и действительные на данный момент документы, например договор аренды),\nВам нужно указать свой доход и доход всех членов вашей семьи, которые проживали в вашей квартире в течение календарного года до подачи заявки. Например, при подаче заявки в 2018 году нужно указать сведения о доходах членов семьи за 2017 год. В качестве справки о доходах можно предоставить такие документы (список не является исчерпывающим):\nНалоговые декларации\nЧеки выплат по социальному обеспечению\nФорма 1099/W2",Program,Программа субсидирования роста арендной платы для пожилых граждан
سابق فوجیوں کی چھوٹ اہل قرار یافتہ سابق فوجیوں، ان کی شریکہ حیات یا غیر شادی شدہ زندہ بچ جانے والی شریکہ حیات، اور ڈیوٹی کے دوران مر جانے والے فوجیوں کے والدین (گولڈ اسٹار پیرنٹ) کے پراپرٹی ٹیکس کو کم کرتی ہے۔,محکمہ مالیات کا بزنس سنٹر (http://www1.nyc.gov/site/finance/pay-now/person.page) ملاحظہ کریں۔,,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_VET'},سابقہ فوجیوں کے استثناء کے لیے درخواست دینے کے لیے آپ کو درج ذیل چیزوں کو ثابت کرنا ہو گا:\nآپ کی سابقہ فوجی کی حیثیت: ایک DD فارم 214 (DD-214) کی ایک نقل، جو سرٹیفیکیٹ آف ریلیز یا ڈسچارج فرام ایکٹو ڈیوٹی کا فارم ہے، یا ہر سابقہ فوجی کے علیحدگی کے کاغذات۔ \nہر معذور سابقہ فوجی کے لیے، ویٹیرنز ایڈمنسٹریشن کی جانب سے معذوری کی درجہ بندی بیان کرنے والے خط کی نقل,Program,سابقہ فوجیوں کا پراپرٹی ٹیکس سے استثناء
Le programme STAR réduit les impôts fonciers pour les propriétaires admissibles qui résident dans les circonscriptions scolaires de l’État de New York.,,Rendez-vous dans un centreTrouvez un (http://www1.nyc.gov/site/finance/about/contact-us.page) centre afin d'obtenir de l'aide en personne.,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_STAR'},,Benefit,Programme d'allégement fiscal relatif à la taxe scolaire
