get_help_by_email,how_to_apply_or_enroll_online,program_name,get_help_in_person,heads_up,page_type,apply_online_call_to_action
,"<p>     You can use Discover DYCD to find programs in your area. To get started:<br> </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank""><u>Discover DYCD</u></a> website.     </li>     <li>Click ""Show Advanced Search"" in the ""Basic Search"" box     </li>     <li>Select ""Literacy Group"" from the ""All Programs"" dropdown and ""Young Adult Literacy Program- Pre HSE Instruction"" in the All Sub-programs"" dropdown     </li> </ol>",Young Adult Literacy Program,,<ul>     <li>Students with at least a 70 percent average attendance rate can participate in paid internships     </li>     <li>You do not have to be a US citizen to participate     </li>     <li>Available to English Language Learners (ELL)     </li> </ul>,Program,Search Discover DYCD
,,Emergency Food Assistance Program,"<p>     <strong>Visit food assistance locations</strong> </p> <p>     Visit the nearest active <a href=""https://access.nyc.gov/locations/?&amp;programs=15061"" target=""_blank"">Emergency Food Assistance Program</a>. </p>","<ul>     <li>For urgent food and hunger needs, call the Emergency Food Hotline at <a href=""tel:866-888-8777"">866-888-8777</a>. You'll be provided with hours of operation and directions to the nearest food pantries and community kitchens     </li>     <li>Everyone is eligible for emergency food assistance, regardless of immigration status or how much money you have     </li>     <li>Food pantries and community kitchens exist in all five boroughs     </li>     <li>If you often need help buying food, use <a href=""https://access.nyc.gov/"" target=""_blank"">ACCESS NYC</a> to see if you're eligible for SNAP (food stamps) and other benefits     </li>     <li>Some locations offer kosher food     </li> </ul>",Program,
,,NYC Nurse-Family Partnership,,"<ul>     <li>You can receive services no matter your age or immigration status     </li>     <li>You can join NFP early in your pregnancy, but no later than your 28th week     </li>     <li>All services are provided at no cost to the client     </li> </ul>",Program,
"<p>     <strong>Email the Department of Finance</strong> </p> <p>     Email the <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page"" target=""_blank"">Department of Finance</a> if you have questions about this program. </p>",,Veterans' Property Tax Exemption,"<p>     <strong>Visit an office</strong> </p> <p>     Visit a <a href=""http://www1.nyc.gov/site/finance/pay-now/person.page"" target=""_blank"">Department of Finance office</a> to get help in person.<br> </p>","<ul>     <li>Your application needs to be postmarked by March 15 in order for your benefits to start on July 1. If March 15 is on a weekend, then the deadline will be the next business day     </li>     <li>         <a href=""http://webapps.nyc.gov:8084/CICS/fin1/find001I"" target=""_blank"">Determine the borough, block, and lot (BBL)</a> for your property using link or checking information on current property tax bill     </li> </ul>",Program,
,,Health Bucks,,,Benefit,
"<p>     <strong>Email the NYS Department of Labor</strong> </p> <p>     <a href=""https://www.labor.ny.gov/secure/contact/"" target=""_blank"">Email NYS unemployment</a> to get more information </p>","<ol>     <li>Create an account on <a href=""https://applications.labor.ny.gov/IndividualReg/?TYPE=33554433&amp;REALMOID=06-b0d30d94-a224-104a-b476-839b26b50cb3&amp;GUID=&amp;SMAUTHREASON=0&amp;METHOD=GET&amp;SMAGENTNAME=%24SM%24ThT5WVUR1XkGiy4UhP34jv09ppEYsY5V%2b%2bhuQYmYxeVseon5yi64QNm3b%2fN7fNeC&amp;TARGET=%24SM%24HTTPS%3a%2f%2fapplications%2elabor%2eny%2egov%2fIndividual%2f"" target=""_blank"">NY.gov</a>.         <ol>             <li>                 <a href=""http://www.labor.ny.gov/ui/claimantinfo/sign-in-faq.shtm"" target=""_blank"">Learn more</a> about how to get a NY.gov ID.             </li>         </ol>     </li>     <li>Login with your new NY.gov ID.     </li>     <li>Follow the instructions to file a claim.     </li>     <li>Submit your application.     </li>     <li>The Department of Labor will review your claim for UI benefits and decide if you qualify.     </li>     <li>You can only file online during the following times:         <ol>             <li>Monday - Thursday: 7:30 a.m - 7:30 p.m             </li>             <li>Friday: 7:30 a.m - 5:00 p.m.             </li>             <li>Weekends: Saturday 12:00 a.m - Sunday 7:00 p.m.             </li>         </ol>     </li> </ol>",NYS Unemployment Insurance,,"<ul>     <li>If you worked in New York State within the last 18 months, you have the right to file a claim for benefits     </li>     <li>You can claim your benefits weekly for up to 26 weeks while you are unemployed     </li>     <li>Requires a valid Social Security Number and government-issued ID card     </li>     <li>It takes three to six weeks from the time you file your claim to receive your first payment     </li>     <li>Apply online or by phone     </li> </ul>",Benefit,File online
,<p>     The City can help you find a website where you can file your taxes for free. </p>,Earned Income Tax Credit,"<p>     <strong>Visit a tax prep location</strong> </p> <p>     Visit a <a href=""https://access.nyc.gov/locations/?programs=6868"" target=""_blank"">tax prep location</a> to get help filing your taxes in person. </p>","<ul>     <li>File your taxes by April 17, 2018     </li>     <li>To qualify you must have earned income from working for someone or from running or owning a business or farm and meet basic rules     </li>     <li>You\u2019ll need to file your federal and New York State tax returns to claim EITC     </li>     <li>If you qualify for the EITC, the City can help you file your taxes for free with NYC Free Tax prep     </li>     <li>If you qualify, the government mails your refund or deposits it into your bank account     </li>     <li>If you owe the government money, be aware that late filing penalties may apply for filing after April 17, 2018     </li>     <li>Refunds for filers who claim EITC will not be distributed until February 15<br>     </li> </ul>",Benefit,File online
,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD</a> website.     </li>     <li>Click ""Show Advanced Search"" in the ""Basic Search"" box     </li>     <li>Select ""Cornerstone"" from the ""All Programs"" dropdown     </li> </ol>",Cornerstone Programs,,<ul>     <li>Programs are free and available to young people and adults     </li>     <li>Enrollment for summer programs is every April     </li>     <li>Enrollment for school-year programs for elementary-age youth is between August and September     </li> </ul>,Program,Search for a program
"<p>     <strong>Email SBHC</strong> Email <a href=""mailto:smelendez7.nyc.gov""><u>Solluz Melendez</u></a>, School-Based Health Centers Coordinator, if you have questions about this program. </p>",,School-Based Health Centers,,"<ul>     <li>Students can get free care regardless of immigration status.     </li>     <li>Students can get free care even if they don't have insurance. Staff can help families apply for free or low-cost public health insurance.     </li>     <li>Centers offer appointments during school hours and 24 hour phone support.     </li>     <li>High-schoolers can receive private reproductive care. They do not need consent from their families.     </li>     <li>Not all schools have SBHCs, you can check with your child's school to see if a health center is on site.     </li> </ul>",Service,
,<p>     The City can help you find a website where you can file your taxes for free. </p>,NYC Free Tax Prep,"<p>     <strong>Visit a tax prep location</strong> </p> <p>     Visit a <a href=""https://access.nyc.gov/locations/?programs=6909"" target=""_blank"">tax prep location</a> to get help filing your taxes in person. </p>","<ul>     <li>File your taxes by April 17, 2018     </li>     <li>File in person or online     </li>     <li>Free Tax Prep sites are open year-round to assist you     </li>     <li>If you qualify for tax credits such as EITC, Child Tax Credit, or Child and Dependent Tax Credit you can claim them when you file     </li>     <li>If you get a refund, the IRS mails your refund or deposits it into your bank account     </li>     <li>If you file in person, some sites let you drop off your tax documents and pick up the completed return later     </li> </ul>",Service,File online
,"<p>     If you're already receiving Cash Assistance, you can complete an online recertification application. </p>",Cash Assistance,"<p>     <strong>Visit an HRA Job Center</strong> </p> <p>     Find an <a href=""https://access.nyc.gov/locations/?programs=6859"" target=""_blank"">HRA Job Center</a> near you. </p>","<ul>     <li>Requires proof of identity, where you live, income, and citizenship status.     </li>     <li>You must be a US citizen or have satisfactory immigration status to receive Cash Assistance; a worker will help you learn your status when you apply     </li>     <li>If you are able to work, you will either need to be working, in an education or training program, or participate in a program assigned to you in order to get Cash Assistance     </li>     <li>You can get money for emergencies, including: eviction, energy and utility bills, natural disasters, and your safety or health     </li>     <li>Apply in person, or have an interview at home if you are homebound     </li> </ul>",Benefit,Recertify online
"<p>     <strong>Email the NYS Department of Labor</strong> </p> <p>     <a href=""https://www.labor.ny.gov/secure/contact/"" target=""_blank"">Email NYS unemployment</a> to get more information </p>","<ol>     <li>Create an account on <a href=""https://applications.labor.ny.gov/IndividualReg/?TYPE=33554433&amp;REALMOID=06-b0d30d94-a224-104a-b476-839b26b50cb3&amp;GUID=&amp;SMAUTHREASON=0&amp;METHOD=GET&amp;SMAGENTNAME=%24SM%24ThT5WVUR1XkGiy4UhP34jv09ppEYsY5V%2b%2bhuQYmYxeVseon5yi64QNm3b%2fN7fNeC&amp;TARGET=%24SM%24HTTPS%3a%2f%2fapplications%2elabor%2eny%2egov%2fIndividual%2f"" target=""_blank"">NY.gov</a>.         <ol>             <li>                 <a href=""http://www.labor.ny.gov/ui/claimantinfo/sign-in-faq.shtm"" target=""_blank"">Learn more</a> about how to get a NY.gov ID.             </li>         </ol>     </li>     <li>Login with your new NY.gov ID.     </li>     <li>Follow the instructions to file a claim.     </li>     <li>Submit your application.     </li>     <li>The Department of Labor will review your claim for UI benefits and decide if you qualify.     </li>     <li>You can only file online during the following times:         <ol>             <li>Monday - Thursday: 7:30 a.m - 7:30 p.m             </li>             <li>Friday: 7:30 a.m - 5:00 p.m.             </li>             <li>Weekends: Saturday 12:00 a.m - Sunday 7:00 p.m.             </li>         </ol>     </li> </ol>",NYS Unemployment Insurance,,"<ul>     <li>If you worked in New York State within the last 18 months, you have the right to file a claim for benefits     </li>     <li>You can claim your benefits weekly for up to 26 weeks while you are unemployed     </li>     <li>Requires a valid Social Security Number and government-issued ID card     </li>     <li>It takes three to six weeks from the time you file your claim to receive your first payment     </li>     <li>Apply online or by phone     </li> </ul>",Benefit,File online
,,Senior Employment Services,"<p>     <strong>Visit the office</strong> </p> <p>     Senior Employment Services<br>     2 Lafayette St., 6th Flr.<br>     New York, NY 10007 </p>","<ul>     <li>If you are eligible for SES, there are job placements citywide     </li>     <li>Requires proof of identity, income, where you live, and eligibility to work     </li>     <li>Apply in person or by mail     </li> </ul>",Program,
"<p>     <strong>Email DHE</strong> </p> <p>     If you have questions, <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page"" target=""_blank"">email DHE</a> for more information.<br> </p>",<p>     There is no online application at this time. </p>,Disabled Homeowners Exemption,"<p>     <strong>Visit an office</strong> </p> <p>     Visit a <a href=""http://www1.nyc.gov/site/finance/pay-now/person.page"" target=""_blank"">Department of Finance Business Center</a> (Monday - Friday, 8:30 a.m - 4:30 p.m) to get help in person. </p>","<ul>     <li>Applications must be postmarked by March 15th for benefits to begin on July 1st each year     </li>     <li>All owners must be persons with disabilities unless the property is owned by your spouse or by siblings, who do not need to be disabled     </li>     <li>If your property qualifies for DHE and the Senior Citizen Homeowner Exemption (SCHE), you will only be granted SCHE; you cannot get both     </li> </ul>",Program,
,"<p>     To request more information on applying visit the <a href=""https://maps.nyc.gov/3k/#form-page"" target=""_blank""><u>3-K for All website</u></a>. <a href=""http://nyc.gov/3k"" target=""_blank""></a> </p>",3-K for All,"<p>     <strong>Visit a Family Welcome Center</strong> </p> <p>     Visit a <a href=""http://nyc.gov/schools/welcomecenters"" target=""_blank""><u>Family Welcome Center</u></a> to learn more about 3-K programs. </p>","<ul>     <li>If you have a child born in 2015 and want to learn more, visit the <a href=""https://maps.nyc.gov/3k/#form-page"" target=""_blank"">3-K for All website</a> or call <a href=""tel:311"">311</a>.     </li>     <li>The City will expand to two additional school districts each year. These districts include:         <ul>             <li>2019-20: District 9 (Grand Concourse, Highbridge, Morrisania) and District 31 (Staten Island).             </li>             <li>2020-21: District 19 (East New York) and District 29 (Cambria Heights, Hollis, Laurelton, Queens Village, Springfield Gardens, St. Albans).             </li>         </ul>     </li> </ul>",Program,Find out how to apply
,"<p>     You can use Discover DYCD to find programs in your area. To get started:<br> </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank""><u>Discover DYCD</u></a> website.     </li>     <li>Click ""Show Advanced Search"" in the ""Basic Search"" box     </li>     <li>Select ""Literacy Group"" from the ""All Programs"" dropdown and ""Young Adult Literacy Program- Pre HSE Instruction"" in the All Sub-programs"" dropdown     </li> </ol>",Young Adult Literacy Program,,<ul>     <li>Students with at least a 70 percent average attendance rate can participate in paid internships     </li>     <li>You do not have to be a US citizen to participate     </li>     <li>Available to English Language Learners (ELL)     </li> </ul>,Program,Search Discover DYCD
,,NYCHA Resident Economic Empowerment and Sustainability,"<p>     <strong>Visit the office</strong> </p> <p>     Visit the REES office at 787 Atlantic Ave., Brooklyn, NY, 11238 to get help in person. </p>",<ul>     <li>REES can help you delay rent increases if your income goes up     </li>     <li>The Brooklyn office has information sessions every Tuesday and Thursday at 8:30 a.m     </li> </ul>,Service,
,,Family Self-Sufficiency,,,Service,
"<p>     <strong>Email the Department of Finance</strong> </p> <p>     Email the <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page"" target=""_blank"">Department of Finance</a> if you have questions about this program. </p>",,Veterans' Property Tax Exemption,"<p>     <strong>Visit an office</strong> </p> <p>     Visit a <a href=""http://www1.nyc.gov/site/finance/pay-now/person.page"" target=""_blank"">Department of Finance office</a> to get help in person.<br> </p>","<ul>     <li>Your application needs to be postmarked by March 15 in order for your benefits to start on July 1. If March 15 is on a weekend, then the deadline will be the next business day     </li>     <li>         <a href=""http://webapps.nyc.gov:8084/CICS/fin1/find001I"" target=""_blank"">Determine the borough, block, and lot (BBL)</a> for your property using link or checking information on current property tax bill     </li> </ul>",Program,
,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank""><u>Discover DYCD</u></a> website.     </li>     <li>Click ""Show Advanced Search"" in the ""Basic Search"" box     </li>     <li>Select ""Young Adult Internship Programs"" from the ""All Programs"" dropdown     </li> </ol>",Intern & Earn (formerly the Young Adult Internship Program),"<p>     <strong>Visit the website</strong><br>     <br>     Visit the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/young-adult-internship-program-yaip.page"" target=""_blank""><u>DYCD website</u></a> for more information. </p>","<ul>     <li>Programs are free and available to youth ages 16-24 who are not in school and not working     </li>     <li>Enrollment is at different times throughout the year     </li>     <li>Job placement is available in many industries, including construction, hospitality, healthcare, and retail     </li> </ul>",Program,Find a program
,"<ol>     <li>Apply to <a href=""https://application.nycsyep.com/"" target=""_blank"">SYEP online</a> during the application period (February - March). The application for SYEP will only be available during that time.     </li>     <li>Participants are selected by lottery for the program.     </li> </ol>",Summer Youth Employment Program,,<ul>     <li>Apply between February and March each year     </li>     <li>Selection is based on a lottery     </li>     <li>Apply online or at a community-based organization during the application period<br>     </li>     <li>Work is available for youth with disabilities     </li> </ul>,Program,Apply online
"<p>     <strong>Email Workforce1</strong> </p> <p>     <a href=""http://www.nyc.gov/html/sbs/wf1/html/contact/contact_form.shtml"" target=""_blank"">Email</a> your questions or if you need more information about Workforce1. </p>","<ol>     <li>Fill out a quick form <a href=""http://www.nyc.gov/html/sbs/wf1/html/register/register_now.shtml"" target=""_blank"">online</a> to register.     </li>     <li>Get access to our job opportunities, recruitment events, workshops, training opportunities, and other services \u2013 all for free!     </li> </ol>",Workforce1,"<p>     <strong>Visit a Workforce1 Career Center</strong> </p> <p>     Find a <a href=""https://maps.nyc.gov/sbs"" target=""_blank"">Workforce1 Career Center</a> near you. </p>","<ul>     <li>Job matching, training opportunities and internship programs are available.     </li>     <li>All Workforce1 Career Center services are free.     </li> </ul>",Service,Apply online
,,Safe Sleep Initiative,,"<ul>     <li>For more information about infant sleep, see <a href=""http://www1.nyc.gov/site/acs/about/safe-sleep-faq.page"" target=""_blank"">frequently asked questions</a>, download the <a href=""https://www1.nyc.gov/assets/acs/pdf/about/2017/safesleepbrochure0609.pdf"" target=""_blank"">Safe Sleep brochure</a>, or watch the <a href=""https://youtu.be/ZLeL_LqieMI"" target=""_blank"">Safe Sleep video</a>.     </li>     <li>Low-income ACS-involved families can get a crib, which is delivered and set up in their home.     </li>     <li>Eligible families can receive a crib at a <a href=""https://www1.nyc.gov/site/doh/health/neighborhood-health/neighborhood-health-action-centers.page"" target=""_blank"">Neighborhood Health Action Center</a> or community-based organization in their borough.     </li> </ul>",Resource,
,"<ol>     <li>Go to <a href=""https://a069-access.nyc.gov/ACCESSNYC/application.do"" target=""_blank"">ACCESS HRA</a>.     </li>     <li>Create an ACCESS HRA account or log in to an existing one.     </li>     <li>Fill out the SNAP application and submit it.     </li>     <li>Send your documents to HRA in one of the following ways.         <ol>             <li>Scan your documents using the NYC HRA Document Upload app available for free on the <a href=""https://appsto.re/us/9s9N_.i"" target=""_blank"">iTunes Store</a> (for iPhones) or the <a href=""https://play.google.com/store/apps/details?id=gov.nyc.hra.DocUploads"" target=""_blank"">GooglePlay Store</a> (for Android phones).             </li>             <li>Mail copies of your documents to: PO Box 29008, Brooklyn, NY, 11202-9816.             </li>             <li>Take your documents to your local <a href=""https://access.nyc.gov/wp-content/uploads/2017/12/FIA-1138_CBOlist.pdf"" target=""_blank"">Community Based Organizations (CBOs)</a> to submit to HRA.             </li>         </ol>     </li>     <li>After you submit your application, you will be contacted to do an eligibility interview. You can do your interview over the telephone without having to come into a SNAP center.<br>     </li>     <li>You can check the status of your application by going to <a href=""https://a069-access.nyc.gov/ACCESSNYC/application.do"" target=""_blank"">ACCESS HRA</a>.     </li>     <li>You will need to recertify for SNAP once every year. The SNAP office will mail you a recertification packet for you to complete and mail back to HRA or recertify online on ACCESS HRA. Once you submit your recertification, you will be able to set up your preferred interview date and time by calling the On Demand interview phone line at <a href=""tel:718-762-7669"">718-SNAP-Now</a> (<a href=""tel:718-762-7669"">718-762-7669</a>).     </li> </ol>",Supplemental Nutrition Assistance Program,"<p>     <strong>Visit a SNAP Center or Community Organization</strong> </p> <p>     Find a <a href=""https://access.nyc.gov/locations/?programs=6887"" target=""_blank"">SNAP center</a> near you. </p> <p>     Find your <a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/snap/CBO_EASE_SITES.pdf"" target=""_blank"">local community-based organization</a>. </p>","<ul>     <li>If you are eligible, you will receive your benefits within 30 days     </li>     <li>You must be a US citizen or have satisfactory immigration status to receive SNAP; a worker will help you determine your status when you apply     </li>     <li>Requires proof of identity, where you live, and income     </li>     <li>You can allow someone who knows your household situation apply for you     </li>     <li>Apply online, in person, by fax, or by mail     </li>     <li>You will have to complete an interview after you submit your application     </li>     <li>SNAP recipients in New York City ages 16 and over are eligible for discounted Citi Bike memberships. For $5 per month, you'll get unlimited 45-minute rides and access to thousands of bikes across Manhattan, Brooklyn, Queens and Jersey City. <a href=""https://try.citibikenyc.com/snap-nyc/"" target=""_blank"">Enter your EBT card number to verify your eligibility</a>.     </li> </ul>",Benefit,Apply online
,,Summer Meals,,"<ul>     <li>No registration, documentation, or ID is required to receive a free breakfast or lunch meal     </li>     <li>For children 18 and under     </li>     <li>Find <a href=""http://www.schoolfoodnyc.org/sch_search/summermeals.aspx"" target=""_blank"">Free Summer Meals locations</a>     </li> </ul>",Program,
"<p>     <strong>Email the NYS Department of Labor</strong> </p> <p>     <a href=""https://www.labor.ny.gov/secure/contact/"" target=""_blank"">Email NYS unemployment</a> to get more information </p>","<ol>     <li>Create an account on <a href=""https://applications.labor.ny.gov/IndividualReg/?TYPE=33554433&amp;REALMOID=06-b0d30d94-a224-104a-b476-839b26b50cb3&amp;GUID=&amp;SMAUTHREASON=0&amp;METHOD=GET&amp;SMAGENTNAME=%24SM%24ThT5WVUR1XkGiy4UhP34jv09ppEYsY5V%2b%2bhuQYmYxeVseon5yi64QNm3b%2fN7fNeC&amp;TARGET=%24SM%24HTTPS%3a%2f%2fapplications%2elabor%2eny%2egov%2fIndividual%2f"" target=""_blank"">NY.gov</a>.         <ol>             <li>                 <a href=""http://www.labor.ny.gov/ui/claimantinfo/sign-in-faq.shtm"" target=""_blank"">Learn more</a> about how to get a NY.gov ID.             </li>         </ol>     </li>     <li>Login with your new NY.gov ID.     </li>     <li>Follow the instructions to file a claim.     </li>     <li>Submit your application.     </li>     <li>The Department of Labor will review your claim for UI benefits and decide if you qualify.     </li>     <li>You can only file online during the following times:         <ol>             <li>Monday - Thursday: 7:30 a.m - 7:30 p.m             </li>             <li>Friday: 7:30 a.m - 5:00 p.m.             </li>             <li>Weekends: Saturday 12:00 a.m - Sunday 7:00 p.m.             </li>         </ol>     </li> </ol>",NYS Unemployment Insurance,,"<ul>     <li>If you worked in New York State within the last 18 months, you have the right to file a claim for benefits     </li>     <li>You can claim your benefits weekly for up to 26 weeks while you are unemployed     </li>     <li>Requires a valid Social Security Number and government-issued ID card     </li>     <li>It takes three to six weeks from the time you file your claim to receive your first payment     </li>     <li>Apply online or by phone     </li> </ul>",Benefit,File online
"<p>     <strong>Email SBHC</strong> Email <a href=""mailto:smelendez7.nyc.gov""><u>Solluz Melendez</u></a>, School-Based Health Centers Coordinator, if you have questions about this program. </p>",,School-Based Health Centers,,"<ul>     <li>Students can get free care regardless of immigration status.     </li>     <li>Students can get free care even if they don't have insurance. Staff can help families apply for free or low-cost public health insurance.     </li>     <li>Centers offer appointments during school hours and 24 hour phone support.     </li>     <li>High-schoolers can receive private reproductive care. They do not need consent from their families.     </li>     <li>Not all schools have SBHCs, you can check with your child's school to see if a health center is on site.     </li> </ul>",Service,
"<p>     <strong>Email IDNYC</strong> </p> <p>     <a href=""http://www1.nyc.gov/site/idnyc/contact/feedback.page"" target=""_blank"">Email IDNYC</a> to get your questions answered. </p>","<p>     You can <a href=""http://www1.nyc.gov/site/idnyc/card/start-your-application.page"" target=""_blank"">submit your application online</a> before going to an enrollment center. To do so: </p> <ol>     <li>Go to the <a href=""https://a069-idnyconlineportal.nyc.gov/IOPWeb/#/EN/NewApplication"" target=""_blank"">IDNYC website</a>.     </li>     <li>Select the language you prefer to use.     </li>     <li>Read application instructions including eligibility and document requirements.     </li>     <li>Fill out the electronic application.     </li>     <li>Select the documents you are going to bring to the enrollment center for your appointment.     </li>     <li>Schedule an appointment for an enrollment center.     </li>     <li>Look over the information you entered and provide an electronic signature.     </li>     <li>Print out your application receipt and make sure you bring it to your appointment.     </li> </ol>",IDNYC,"<p>     <strong>Visit an IDNYC center</strong> </p> <p>     Find an <a href=""https://access.nyc.gov/locations/?programs=6872"" target=""_blank"">IDNYC enrollment center</a> near you to get help in person. </p>","<ul>     <li>All New Yorkers 10 and older, regardless of immigration status, can apply for an IDNYC card.     </li>     <li>Requires proof of identity and where you live     </li>     <li>Find an <a href=""http://www1.nyc.gov/site/idnyc/card/locations.page"" target=""_blank"">an enrollment center</a> near you to apply in person     </li>     <li>Applicants 14 and older can <a href=""http://www1.nyc.gov/site/idnyc/card/start-your-application.page"" target=""_blank"">submit applications online</a> before going to an enrollment center     </li>     <li>You can apply for an IDNYC card even if you are homeless     </li>     <li>IDNYC cardholders are now able to pay the fee to replace a lost or stolen card online via the IDNYC <a href=""https://a069-idnyconlineportal.nyc.gov/IOPWeb/#/EN/Dashboard"" target=""_blank"">Online Portal</a>. Cardholders can start the replacement card application online in the \u201cReplace Your Card\u201d option, pay the $10 fee, and complete the process at any IDNYC enrollment center or pop-up     </li>     <li>Cardholders who are 10-13 years old may pay the fee to replace a lost stolen card at an IDNYC Department of Finance Enrollment Center     </li>     <li>IDNYC has launched new partnerships with <a href=""http://www1.nyc.gov/site/idnyc/benefits/latest-idnyc-benefits.page"" target=""_blank"">entertainment and cultural institutions</a> that are fun for the whole family     </li> </ul>",Program,Submit your application online
,,Family Self-Sufficiency,,,Service,
"<p>     <strong>Email Workforce1</strong> </p> <p>     <a href=""http://www.nyc.gov/html/sbs/wf1/html/contact/contact_form.shtml"" target=""_blank"">Email</a> your questions or if you need more information about Workforce1. </p>","<ol>     <li>Fill out a quick form <a href=""http://www.nyc.gov/html/sbs/wf1/html/register/register_now.shtml"" target=""_blank"">online</a> to register.     </li>     <li>Get access to our job opportunities, recruitment events, workshops, training opportunities, and other services \u2013 all for free!     </li> </ol>",Workforce1,"<p>     <strong>Visit a Workforce1 Career Center</strong> </p> <p>     Find a <a href=""https://maps.nyc.gov/sbs"" target=""_blank"">Workforce1 Career Center</a> near you. </p>","<ul>     <li>Job matching, training opportunities and internship programs are available.     </li>     <li>All Workforce1 Career Center services are free.     </li> </ul>",Service,Apply online
"<p>     <strong>Email DRIE</strong> </p> <p>     <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page"" target=""_blank"">Email DRIE</a> for more information. </p>",<p>     SCRIE/DRIE online applications are temporarily unavailable while we work on a new and improved application. Please use the forms or walk-in location to apply. </p>,Disability Rent Increase Exemption,"<p>     <strong>Visit DRIE walk-in center</strong> </p> <p>     66 John St, 3rd Flr<br>     New York, NY, 10038<br>     Open Monday - Friday, 8:30 a.m.- 4:30 p.m. </p>","<ul>     <li>Once applied, it takes 10 - 15 days to hear back     </li>     <li>You are not required to file taxes to qualify for DRIE     </li>     <li>You will need to send documents. Never mail your original documents, just copies     </li>     <li>You do not need your landlord's permission to apply     </li>     <li>Apply online, by mail, or in person     </li> </ul>",Program,
,,After School and Saturday Meals,,,Program,
"<p>     <strong>Email STAR</strong> </p> <p>     Email the <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page"" target=""_blank"">NYC Department of Finance</a> if you have question about STAR. </p>",<p>     You can register for the STAR credit online in just a few minutes. Your application will be reviewed automatically to see if you are eligible for Basic or Enhanced STAR. </p>,School Tax Relief Program,"<p>     <strong>Visit a center</strong><br> </p> <p>     Find a <a href=""http://www1.nyc.gov/site/finance/about/contact-us.page"" target=""_blank"">center</a> to get help in person. </p>","<ul>     <li>Basic STAR is for all homeowners and worth about $300 credit, Enhanced STAR is for people 65 and older and is worth about $600     </li>     <li>If you\u2019re eligible for the STAR credit, you\u2019ll receive a check for the amount of your STAR savings<br>     </li>     <li>Senior citizens getting STAR may also be eligible for the Senior Citizens Homeowners\u2019 Exemption (SCHE)<br>     </li>     <li>You do <strong>not</strong> need to register for STAR if you are a longtime homeowner with an existing STAR exemption<br>     </li> </ul>",Benefit,Register online
,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD</a> website.     </li>     <li>Click \u201dShow Advanced Search"" in the ""Basic Search"" box.     </li>     <li>Select ""Youth Workforce Development"" from the ""All Programs"" dropdown and an ""OSY"" program from the ""All Sub-programs"" dropdown     </li> </ol>",Train & Earn\u200b,,"<ul>     <li>Available for youth 16 - 24 years old, who are not working and not in school     </li>     <li>College placement, HSE prep, and support services are also available     </li>     <li>Enroll at different times throughout the year     </li> </ul>",Program,Search for a program
,,Commodity Supplemental Food Program,"<p>     <strong>Visit a CSFP location</strong> </p> <p>     Visit a <a href=""https://access.nyc.gov/locations/?programs=6862"" target=""_blank"">CSFP site</a> near you to get help in person. </p>","<ul>     <li>Requires proof of identity, address, and income     </li>     <li>You can get CSFP even if you are receiving SNAP     </li>     <li>You, or someone representing you, will pick up the food once a month at one of the four distribution sites     </li> </ul>",Program,
