unique_id_number,how_to_apply_or_enroll_by_phone,get_help_by_calling_other_than_311,apply_by_mail_call_to_action,brief_excerpt,how_to_apply_or_enroll_in_person
P026en,,"<p>     <strong>Call for Workforce1 if you\u2019re hearing or speech-impaired</strong> </p> <p>     Call NYC Telephone Relay System at <a href=""tel:800-662-1220"">800-662-1220</a>. </p>",,<p>     Connect to a job that is right for you </p>,"<ol>     <li>Find a <a href=""https://maps.nyc.gov/sbs"" target=""_blank"">Workforce1 Center</a> near you.<br>     </li>     <li>Attend an Introduction to Services session and a brief one-on\u2013one session with a Workforce1 staff member to review work experience, fit for Workforce1 job opportunities, and recommended next steps.     </li> </ol>"
P079en,,,,<p>     Families can get information on creating a safe sleep environment for their baby and may qualify for a free crib. </p>,
P007en,<p>     You can also fax your competed application to 917-639-1111. </p>,"<p>     <strong>Call the SNAP Infoline</strong> </p> <p>     Call the SNAP Infoline at <a href=""tel:718-557-1399"">718-557-1399</a> for more information. </p>",Download the form,<p>     SNAP benefits can help you feed your family with fresh and healthy groceries. </p>,"<ol>     <li>Print a paper application, pick one up from a SNAP Center, or call the HRA Infoline at <a href=""tel:718-557-1399"">718-557-1399</a> to have a paper application mailed to you.     </li>     <li>Gather the documents you'll need to include with your application.     </li>     <li>Drop your completed application off at a SNAP Center near you. You can make copies of your documents at the center.     </li>     <li>You can also apply for SNAP at a <a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/snap/CBO_EASE_SITES.pdf"" target=""_blank"">community-based organization (CBO) in your neighborhood</a>. Experts can help you submit your application, and the necessary documents.     </li> </ol>"
P023en,,"<p>     <strong>Call the help desk</strong> </p> <p>     Call the SchoolFood Summer meals team at <a href=""tel:718-707-4398"">718-707-4398</a> if you have questions.<br> </p>",,<p>     Children can get free breakfast and lunch in the summer at hundreds of locations in NYC. </p>,
P021en,"<p>     Apply over the phone by calling the NYS Department of Labor at <a href=""tel:888-209-8124"">888-209-8124</a>, Monday \u2013 Friday, 8:00 a.m - 5:00 p.m. </p>","<p>     <strong>Call NYS Unemployment</strong> </p> <p>     Call <a href=""tel:888-469-7365"">888-469-7365</a> if you have questions about unemployment benefits. </p>",,<p>     Unemployment gives temporary income to workers who lose their jobs. </p>,
P050en,,,,<p>     Students can get free health care in their school. </p>,"<p>     To get free health care, students must have their parents or guardians fill out and return a consent form. </p> <ul>     <li>         <a href=""http://schools.nyc.gov/NR/rdonlyres/E298C16B-55F0-4DDD-BB02-2B0524250986/170518/AttachmentD_ParentalConsentEnglish_082214_GradesPK.doc""><u>Pre-K to 8th grade</u></a> <a href=""http://schools.nyc.gov/NR/rdonlyres/E298C16B-55F0-4DDD-BB02-2B0524250986/170518/AttachmentD_ParentalConsentEnglish_082214_GradesPK.doc""><u>consent form</u></a>     </li>     <li>         <a href=""http://schools.nyc.gov/NR/rdonlyres/E298C16B-55F0-4DDD-BB02-2B0524250986/170535/AttachmentD_ParentalConsentEnglish_082214_Grades91.doc""><u>9th - 12th grade</u></a> <a href=""http://schools.nyc.gov/NR/rdonlyres/E298C16B-55F0-4DDD-BB02-2B0524250986/170535/AttachmentD_ParentalConsentEnglish_082214_Grades91.doc""><u>consent form</u></a>     </li> </ul> <p>     Students do not need to have health insurance to enroll in SBHC. If the student does have insurance, include the information on the consent form. </p>"
P032en,,,,<p>     IDNYC can often be used as an official ID for all New Yorkers age 10 and over. </p>,"<ol>     <li>Find <a href=""http://www1.nyc.gov/site/idnyc/card/locations.page"" target=""_blank"">an enrollment center</a> near you and <a href=""http://www1.nyc.gov/site/idnyc/card/make-an-appointment.page"" target=""_blank"">book your appointment online</a>. Appointments are required.     </li>     <li>Print and fill out the application form <a href=""https://access.nyc.gov/wp-content/uploads/2018/08/IDNYC_Appl-and-Instr_10-13_EN.pdf"" target=""_blank"">for 10-13 year olds</a> and <a href=""https://access.nyc.gov/wp-content/uploads/2018/08/IDNYC_Appl-and-Instr_14andOlder_EN.pdf"" target=""_blank"">for 14 years and older</a> ahead of time and bring it to your appointment, or fill it out at your appointment.     </li>     <li>Applicants 14 and older can <a href=""http://www1.nyc.gov/site/idnyc/card/start-your-application.page"" target=""_blank"">submit applications online</a> before going to an enrollment center.     </li>     <li>Collect your documents and bring them with you to your appointment. Your ID photo will be taken during the appointment.     </li> </ol>"
P078en,,,,"<p>     Section 8 tenants can get help enrolling in college classes, finding a job, and starting a savings account. </p>",
P026en,,"<p>     <strong>Call for Workforce1 if you\u2019re hearing or speech-impaired</strong> </p> <p>     Call NYC Telephone Relay System at <a href=""tel:800-662-1220"">800-662-1220</a>. </p>",,<p>     Connect to a job that is right for you </p>,"<ol>     <li>Find a <a href=""https://maps.nyc.gov/sbs"" target=""_blank"">Workforce1 Center</a> near you.<br>     </li>     <li>Attend an Introduction to Services session and a brief one-on\u2013one session with a Workforce1 staff member to review work experience, fit for Workforce1 job opportunities, and recommended next steps.     </li> </ol>"
P005en,"<p>     If you live in a Housing Development Fund Company (HDFC) apartment or Mitchell-Lama apartment, call HPD at <a href=""tel:212-863-8494"">212-863-8494</a> to apply. </p>","<p>     <strong>Call DRIE using TTY</strong> </p> <p>     Call <a href=""tel:212-639-9675"">212-639-9675</a> if you have a hard time hearing. </p>",Download the form,<p>     DRIE can help people with disabilities freeze their rent so it won't be increased. </p>,"<ol>     <li>Print a <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/DRIE_Application_Packet_EN.pdf"" target=""_blank"">paper application</a>, pick one up from DRIE walk-in center at 66 John St, 3rd Flr New York, NY, 10038 (Monday - Friday, 8:30 a.m. - 4:30 p.m.), or call <a href=""tel:311"">311</a> to request a paper application form to be mailed to you     </li>     <li>Complete your DRIE application and take it to:<br>         <strong>DRIE Walk-In Center</strong><br>         66 John St, 3rd Floor<br>         New York, NY, 10038<br>         Open Monday - Friday, 8:30 a.m. - 4:30 p.m.     </li> </ol>"
P055en,,,,<p>     Students can get free food on Saturdays and weekday evenings at some schools. </p>,
P012en,,,,<p>     Homeowners can get a partial exemption from school property taxes. </p>,
P095en,,"<p>     <strong>Call Youth Connect</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> if you have questions about this program. </p>",,<p>     Train & Earn offers job training and job placement help to unemployed youth who are not in school. </p>,
P027en,"<p>     Call a food distribution site near you for application information. </p> <ul>     <li>The Bronx: <a href=""tel:917-982-2564"">917-982-2564</a>     </li>     <li>Brooklyn: <a href=""tel:718-498-9208"">718-498-9208</a>     </li>     <li>Queens: <a href=""tel:718-523-2220"">718-523-2220</a>     </li>     <li>Long Island: <a href=""tel:516-623-4568"">516-623-4568</a>     </li> </ul>","<p>     <strong>Call a CSFP site</strong> </p> <p>     The Bronx: <a href=""tel:917-982-2564"">917-982-2564</a>, Brooklyn: <a href=""tel:718-498-9208"">718-498-9208</a>, Queens: <a href=""tel:718-523-2220"">718-523-2220</a>, Long Island <a href=""tel:516-623-4568"">516-623-4568</a> </p>",,<p>     CSFP offers healthy food packages for low-income seniors. </p>,"<p>     Collect your documents and take them to a <a href=""https://access.nyc.gov/locations/?programs=6862"" target=""_blank"">CSFP site</a> near you. You can call ahead to verify the types of documents are recommended. </p>"
P013en,,"<p>     <strong>Call if you have questions</strong> </p> <p>     Call NYCHA Section 8 at <a href=""tel:718-707-7771"">718-707-7771</a>. </p>",,<p>     Section 8 helps low-and-moderate-income families rent housing in the private market. </p>,
P099en,"<p>     To apply for Jobs Plus, <a href=""http://opportunitynycha.org/workforce-development/jobs-plus/"" target=""_blank"">contact a site near you</a>. </p>","<p>     <strong>Call a site</strong> </p> <p>     Call a <a href=""http://opportunitynycha.org/workforce-development/jobs-plus/"" target=""_blank"">Jobs Plus site</a> for questions about a specific location. </p>",,<p>     Jobs Plus is an employment program that helps NYCHA residents find employment and increase their earnings. </p>,
P077en,,"<p>     <strong>Call Youth Connect</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:1-800-246-4646"">1-800-246-4646</a> if you have questions about Cornerstone programs. </p>",,<p>     Year-round programs for youth and adults hosted at public housing community centers. </p>,
P093en,,"<p>     <strong>Call Youth Connect</strong><br>     <br>     Call DYCD Youth Connect at <a href=""tel:1-800-246-4646""><u>1-800-246-4646</u></a> if you have questions about this program. </p>",,<p>     YALP helps youth struggling with reading and math increase their skills so that they can enroll in high school equivalency tests and preparation programs. </p>,
P012en,,,,<p>     Homeowners can get a partial exemption from school property taxes. </p>,
P042en,,"<p>     <strong>Call Access-A-Ride</strong> </p> <p>     Call <a href=""tel:877-337-2017"">877-337-2017</a> if you have questions about applying for Access-A-Ride. </p>",,<p>     People with disabilities can get transportation throughout the five boroughs of NYC. </p>,"<ol>     <li>Make an appointment by calling <a href=""tel:877-337-2017"">877-337-2017</a> and pressing 1 when prompted.     </li>     <li>When you schedule your appointment, let the staff know if you need:<br>         <ol>             <li>material in large print, Braille, or recorded format             </li>             <li>a sign language interpreter             </li>             <li>a personal care attendant to travel with you             </li>             <li>telephonic interpretation services             </li>         </ol>     </li>     <li>After you book your appointment you will get an application package in the mail. The package will include the application, a letter about your appointment, and instructions on round-trip transportation to the testing center.         <ol>             <li>When scheduling transportation, mention if you are traveling with a personal care attendant.             </li>         </ol>     </li>     <li>Call <a href=""tel:877-337-2017"">877-337-2017</a> (prompt #1) if you haven't received your AAR eligibility by mail.     </li> </ol>"
P060en,,,,<p>     Free or low-cost health insurance plans for NYC children. </p>,
P103en,"<p>     Call the National Call Center for Homeless Veterans at <a href=""tel:877-424-3838"">877-424-3838</a>, which will connect you to your local VA homeless program. </p>","<p>     <strong>Call the National Call Center for Homeless Veterans</strong> </p> <p>     Call <a href=""tel:877-424-3838"">877-424-3838</a> to learn if you're eligible and apply. </p>",,<p>     The VA assists homeless veterans and their families find and maintain permanent housing. </p>,"<p>     Veterans can apply in person at the <a href=""https://access.nyc.gov/location/the-va-medical-center/"" target=""_blank"">VA Medical Center</a> in the Bronx or at the <a href=""https://access.nyc.gov/location/the-harbor-va-site/"" target=""_blank"">VA NY Harbor Site</a> in Manhattan. </p>"
P037en,,"<p>     <strong>Call the Helpline</strong> </p> <p>     Call NYS Child Support Helpline at <a href=""tel:888-208-4485"">888-208-4485</a> (or <a href=""tel:866-875-9975"">866-875-9975</a> if you have trouble hearing) for more information. Automated information is available 24 hours a day/7 days a week. Social security number and PIN required. </p>",Download the form,<p>     Financial support for children and employment support for fathers and mothers. </p>,"<ul>     <li>         <a href=""https://access.nyc.gov/wp-content/uploads/2018/08/Child_Support_Enforcement_Form_EN.pdf"" target=""_blank"">Download and complete the child support application</a>. You only need to fill out the last 8 pages.     </li>     <li>Submit the application to your local <a href=""https://access.nyc.gov/locations/?programs=15014"" target=""_blank"">child support office</a> at the <a href=""http://www.nycourts.gov/courts/nyc/family/index.shtml"" target=""_blank"">Family Court</a> in your borough.     </li>     <li>If you\u2019re applying for or receiving cash assistance or medical assistance, you need to interview at the Office of Child Support Services to open a case.     </li>     <li>Bring as much information as you can about the child\u2019s other parent. Examples include their birthday, Social Security number, address, and employer\u2019s name. A photo is also helpful.     </li> </ul>"
P063en,"<p>     NYC Health + Hospitals has centers across the five boroughs. Use the <a href=""http://www.nychealthandhospitals.org/health_care/"" target=""_blank""><u>location finder</u></a> to find a center close to you and call to make an appointment. </p>",,,"<p>     Birth control, family planning, and more for young women. </p>",
P052en,,"<p>     <strong>Call Youth Connect</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:1-800-246-4646"">1-800-246-4646</a> if you have questions about this program. </p>",,"<p>     SONYC offers a mix of activities, including leadership, Science Technology Engineering and Math (STEM), literacy, academic help, sports, arts, and more. </p>","<p>     You can also enroll your child in a SONYC program, contact the program staff at your child\u2019s school. </p>"
P088en,,,,"<p>     CUNY ASAP helps students earn an associate degree within three years by providing financial, academic, and personal support. </p>",
