plain_language_eligibility,get_help_online,how_to_apply_or_enroll_by_mail,url_of_pdf_application_forms,language,program_acronym
"<p>     You may be eligible for Access-A-Ride if you have a disability that prevents you from using accessible buses or subways for some or all of your trips. At your in-person assessment, you will be asked to show whether you can: </p> <ul>     <li>go up or down subway stairs,     </li>     <li>travel to a subway or bus station,     </li>     <li>get on, ride, and exit a subway or bus,     </li>     <li>and ride or navigate the bus or subway system on your own.     </li> </ul> <p>     This will help us decide if you are eligible for partial or full Access-A-Ride services. Please be sure to provide, in writing, how your disability prevents you from using accessible buses or subways and what other conditions prevent you from walking to and waiting for bus or the subway (sidewalk in poor condition, hilly area, no bus shelter with seats, etc). </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://web.mta.info/nyct/paratran/guide.htm#aarmetrocard"" target=""_blank"">Access-A-Ride website</a> for more information.<br> </p>",,http://web.mta.info/nyct/paratran/access_application.pdf,English,AAR
<p>     You may be eligible if you can answer yes to these questions. </p> <ul>     <li>Do you live in NYC?     </li>     <li>Are you between 14 and 24 years old?     </li> </ul>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dycd/services/jobs-internships/summer-youth-employment-program-syep.page"" target=""_blank"">SYEP page</a> on the DYCD website to learn more.<br> </p>",,,English,SYEP
"<p>     All New Yorkers can get help at an NYC Health + Hospitals facility, regardless of your ability to pay or immigration status. </p>","<p>     <strong>NYC Health + Hospitals</strong> </p> <p>     <a href=""mailto:lgbtq.org""><u>Email NYC Health + Hospitals</u></a> for more information on LGBTQ health care services. </p>",,,English,
<ul>     <li>Children up to 18 years old and their families who are struggling to relate to one another can get help     </li>     <li>Any family can get help from FAP; you do NOT need to have an open ACS case     </li> </ul>,,,,English,FAP
"<p>     To be eligible for CUNY Fatherhood Academy, you should be able to answer yes to these questions. </p> <p>     <strong>For the high school equivalency and college prep track</strong>:<br> </p> <ul>     <li>Do you live in NYC?     </li>     <li>Are you a father or expecting father?     </li> </ul> <p>     <strong>For the high school equivalency track only</strong>: </p> <ul>     <li>Are you between the ages of 18 and 30 years old?     </li>     <li>Can you commit to a 16 week program for 3 days a week?     </li> </ul> <p>     <strong>For the college prep track only</strong>: </p> <ul>     <li>Are you between the ages of 18 and 30 years old?     </li>     <li>Do you have a high school diploma, HSE diploma, or GED?     </li>     <li>Do you have less than 12 college credits?     </li>     <li>Are you currently <strong>not</strong> enrolled in college?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-fatherhood-academy/#1450206886076-12e63e87-cd35"" target=""_blank""><u>CUNY Fatherhood Academy website</u></a> to learn more about the program. </p>",,,English,CFA
"<p>     Youth who are 16 - 24 years old who struggle with reading, writing, and math are eligible for this program. Youth must not be working or not in school to participate. </p>","<p>     <strong>Visit the website</strong><br>     <br>     Visit the <a href=""https://www1.nyc.gov/site/dycd/services/reading-writing/young-adult-literacy-program.page"" target=""_blank""><u>DYCD website</u></a> for more information. </p>",,,English,YALP
"<p>     Everyone is eligible for emergency food assistance, regardless of immigration status or how much money you have. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit <a href=""https://maps.nyc.gov/foodhelp/"" target=""_blank"">Foodhelp.nyc</a> for a map of food pantries and community kitchens. </p>",,,English,EFAP
"<p>     To be eligible, you should be able to answer yes to these questions: </p> <ul>     <li>Are you a woman or a girl who is 28 weeks pregnant or less with your first baby?     </li>     <li>If you are over 18 years old, do you live in a zip code listed on the <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/ms/nfp-area-map.pdf"" target=""_blank"">NFP service map</a>?     </li>     <li>Do you meet the income requirements?     </li> </ul> <table>     <thead>         <tr>             <th>                 Family size             </th>             <th>                 Income in a year             </th>             <th>                 Income in a month             </th>             <th>                 Income in a week             </th>         </tr>     </thead>     <tbody>         <tr>             <td>                 1             </td>             <td>                 $35,520             </td>             <td>                 $2,960             </td>             <td>                 $740             </td>         </tr>         <tr>             <td>                 2             </td>             <td>                 $44,796             </td>             <td>                 $3,733             </td>             <td>                 $933.25             </td>         </tr>         <tr>             <td>                 3             </td>             <td>                 $55,272             </td>             <td>                 $4,606             </td>             <td>                 $1,151.50             </td>         </tr>         <tr>             <td>                 4             </td>             <td>                 $63,360             </td>             <td>                 $5,280             </td>             <td>                 $1,320<br>             </td>         </tr>         <tr>             <td>                 5             </td>             <td>                 $72,636             </td>             <td>                 $6,053             </td>             <td>                 $1,513.25             </td>         </tr>         <tr>             <td>                 6             </td>             <td>                 $81,912             </td>             <td>                 $6,826             </td>             <td>                 $1,706.50             </td>         </tr>         <tr>             <td>                 7             </td>             <td>                 $91,188             </td>             <td>                 $7,599             </td>             <td>                 $1,899.75             </td>         </tr>     </tbody> </table> <p>     <strong>Exceptions</strong>: </p> <ul>     <li>All NYC girls under 18 years old are eligible, regardless of ZIP code.     </li>     <li>All women and girls are eligible if they are: homeless or incarcerated, in foster care, or involved in the juvenile justice system.     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/doh/health/health-topics/nurse-family-partnership.page"" target=""_blank"">NYC NFP website</a> to find out more. </p>","<p>     If you are a service provider, you can refer your patients/clients to NFP by filling in the referral form and mailing or faxing it to the locations listed on the form. </p>",https://access.nyc.gov/wp-content/uploads/2017/03/NFP-Client-Referral-Form.EN_.pdf,English,NYC NFP
"<p>     To be eligible for Veterans' Exemption, you should be able to answer yes to all of these questions. </p> <ul>     <li>Are you the current deeded owner, spouse or surviving un-remarried widow/widower of the property owner?     </li>     <li>Is the property your primary residence?     </li>     <li>Are you a veteran who served in the US armed forces during one of the following conflicts only:         <ul>             <li>Persian Gulf Conflict (includes the Afghanistan and Iraq Conflicts) - beginning August 2, 1990 to present             </li>             <li>Vietnam War - February 28, 1961 to May 7, 1975             </li>             <li>Korean War - June 27, 1950 - January 31, 1955             </li>             <li>World War II - December 7, 1941 to December 31, 1946             </li>             <li>World War I - April 6, 1917 to November 11, 1918             </li>         </ul>     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page"" target=""_blank"">Veterans' Exemption website</a> for more information.<br> </p>","<ul>     <li>Apply by mail: <a href=""https://access.nyc.gov/wp-content/uploads/2017/12/VeteransExemption-InitialAppl_EN.pdf"" target=""_blank"">Download the initial exemption application</a> form and mail it to:<br>         <strong>New York City Department of Finance</strong><br>         P.O. BOX 311<br>         Maplewood, NJ 07040-0311     </li>     <li>You will need to submit copies of the required documentation with your application. Applications without all of the required documents cannot be processed.     </li>     <li>Your completed application and all required documents must be postmarked by March 15 (or the next business day if March 15 is on a weekend) for your exemption to begin on July 1 in the same year.     </li> </ul>",https://access.nyc.gov/wp-content/uploads/2017/12/VeteransExemption-InitialAppl_EN.pdf,English,
<p>     Anyone who currently receives SNAP benefits is eligible. </p>,,,,English,
"<p>     You may be eligible if you can answer yes to these questions. </p> <ul>     <li>Did you lose your job through no fault of your own (for example: you got laid off)?     </li>     <li>Did you work within the last 18 months?     </li>     <li>Are you ready, willing, and able to work immediately?     </li>     <li>Are you actively seeking work and keep a record (online or written) of your efforts?     </li>     <li>Do you have enough income from your most recent work to establish a claim?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.ny.gov/services/get-unemployment-assistance"" target=""_blank"">NYS Unemployment Insurance website</a> for more information<br> </p>",,,English,
"<p>     To be eligible for EITC, you should be able to answer yes to all of these questions: </p> <ul>     <li>Do you have a valid Social Security Number?     </li>     <li>Will you file a tax return this year?     </li>     <li>Did you earn less than $3,450 from investments?     </li>     <li>If you don't have any qualifying children, are you between 25 and 65 years old?     </li> </ul> <p>     EITC also looks at your income from the previous year to determine if you are eligible. You can use <a href=""http://www.nyc.gov/accessnyc"" target=""_blank"">ACCESS NYC</a> to screen to see if you might be eligible. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page"" target=""_blank"">NYC Department of Consumer Affairs website</a> for more information. </p>",,,English,EITC
<p>     Cornerstone Programs are available to NYCHA residents who are Kindergarten-age or older. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dycd/services/after-school/cornerstone.page"" target=""_blank"">Cornerstone Programs website</a> for more information. </p>",,,English,
<p>     All students enrolled at a school with a SBHC are eligible for health care services at their school. </p>,"<p>     <strong>Visit the website</strong><br>     Visit the <a href=""https://www.schools.nyc.gov/school-life/health-and-wellness/school-based-health-centers"" target=""_blank""><u>SBHC website</u></a> to learn about all of the available services. </p>",,,English,SBHC
"<ul>     <li>To be eligible to file your taxes in person for free, your income must be $54,000 or less for the previous year.     </li>     <li>To be eligible to file your taxes online for free, your income must be $66,000 or less for the previous year.     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page"" target=""_blank"">NYC Department of Consumer Affairs website</a> for more information. </p>",,,English,
<p>     This program looks at several things to decide if you are eligible. Some of them include: </p> <ul>     <li>how much money you earn     </li>     <li>how much money you receive from benefits     </li>     <li>how many people live in your house     </li>     <li>resources like cash or a checking account     </li>     <li>your citizenship or immigration status     </li> </ul>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/hra/help/cash-assistance.page"" target=""_blank"">Cash Assistance website</a> to learn more about this program. </p>","<p>     Download an application form, complete and mail it to a Job Center.<br> </p>",https://access.nyc.gov/wp-content/uploads/2017/03/Cash_Assistance_Applicaion_EN.pdf,English,
"<p>     You may be eligible if you can answer yes to these questions. </p> <ul>     <li>Did you lose your job through no fault of your own (for example: you got laid off)?     </li>     <li>Did you work within the last 18 months?     </li>     <li>Are you ready, willing, and able to work immediately?     </li>     <li>Are you actively seeking work and keep a record (online or written) of your efforts?     </li>     <li>Do you have enough income from your most recent work to establish a claim?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.ny.gov/services/get-unemployment-assistance"" target=""_blank"">NYS Unemployment Insurance website</a> for more information<br> </p>",,,English,
"<p>     To be eligible for SES, you must be able to answer yes to these questions: </p> <ul>     <li>Are you 55 years of age or older?     </li>     <li>Are you unemployed?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dfta/services/senior-employment.page"" target=""_blank"">SES website</a> for more information. </p>","<ol>     <li>Download and complete the <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/Senior_Employment_Services_Form.pdf"" target=""_blank"">Employment Assistance Services Form</a>.     </li>     <li>Mail the application to:<br>         Senior Employment Unit/SCSEP-Title V Program<br>         New York City Department for the Aging<br>         2 Lafayette St.<br>         New York, NY 10007     </li> </ol>",https://access.nyc.gov/wp-content/uploads/2017/03/Senior_Employment_Services_Form.pdf,Spanish,SES
"<p>     To be eligible for DHE, you should be able to answer yes to all of these questions: </p> <ul>     <li>Are all owners persons with disabilities, <strong>OR</strong> are other owners the spouses or siblings of the person(s) with disabilities?     </li>     <li>Is the property your primary residence?     </li>     <li>Is the combined income for all owners less than or equal to $58,399 per year?         <ul>             <li>Income does <strong>NOT</strong> include SSI or Cash Assistance benefits.             </li>         </ul>     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/finance/benefits/landlords-dhe.page"" target=""_blank"">DHE website</a> to learn more.<br> </p>","<ol>     <li>Download and complete the initial exemption application. You can also contact <a href=""tel:311"">311</a> for an application to be mailed to you.     </li>     <li>You will be asked provide the borough, block, and lot (BBL) for your home. You can <a href=""http://webapps.nyc.gov:8084/CICS/fin1/find001I"" target=""_blank"">use the Property Address Search</a> to determine this.     </li>     <li>Gather your required documents and include them with your application. Your application will not be processed without them.     </li>     <li>Mail your completed application and required documents to:<br>         New York City Department of Finance<br>         P.O.BOX 311<br>         Maplewood, NJ 07040-031     </li>     <li>Applications must be postmarked by March 15th for benefits to begin on July 1st each year     </li> </ol>",https://access.nyc.gov/wp-content/uploads/2017/12/DHE-InitialAppl_EN.pdf,English,DHE
"<p>     NYC families who have a child born in 2015 can apply to 3-K for All in School Districts 4, 5, 7,16, 23, and 27. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://nyc.gov/3k"" target=""_blank""><u>3-K website</u></a> to find out more information. </p>",,,English,3-K
"<p>     Youth who are 16 - 24 years old who struggle with reading, writing, and math are eligible for this program. Youth must not be working or not in school to participate. </p>","<p>     <strong>Visit the website</strong><br>     <br>     Visit the <a href=""https://www1.nyc.gov/site/dycd/services/reading-writing/young-adult-literacy-program.page"" target=""_blank""><u>DYCD website</u></a> for more information. </p>",,,English,YALP
"<p>     Anyone who lives in NYCHA housing is eligible for REES. But, the services that REES connects you to have different eligibility rules. The eligibility for each program is on the <a href=""http://opportunitynycha.org/programs-near-me/"" target=""_blank"">Opportunity NYCHA site</a>. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://opportunitynycha.org/"" target=""_blank"">Opportunity NYCHA website</a> to learn more about REES services. </p>",,https://access.nyc.gov/wp-content/uploads/2017/03/REES_Form_EN.pdf,English,REES
<p>     Available to tenants receiving Section 8 issued by NYC Housing Preservation & Development (HPD). </p>,,,,English,FSS
"<p>     To be eligible for Veterans' Exemption, you should be able to answer yes to all of these questions. </p> <ul>     <li>Are you the current deeded owner, spouse or surviving un-remarried widow/widower of the property owner?     </li>     <li>Is the property your primary residence?     </li>     <li>Are you a veteran who served in the US armed forces during one of the following conflicts only:         <ul>             <li>Persian Gulf Conflict (includes the Afghanistan and Iraq Conflicts) - beginning August 2, 1990 to present             </li>             <li>Vietnam War - February 28, 1961 to May 7, 1975             </li>             <li>Korean War - June 27, 1950 - January 31, 1955             </li>             <li>World War II - December 7, 1941 to December 31, 1946             </li>             <li>World War I - April 6, 1917 to November 11, 1918             </li>         </ul>     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page"" target=""_blank"">Veterans' Exemption website</a> for more information.<br> </p>","<ul>     <li>Apply by mail: <a href=""https://access.nyc.gov/wp-content/uploads/2017/12/VeteransExemption-InitialAppl_EN.pdf"" target=""_blank"">Download the initial exemption application</a> form and mail it to:<br>         <strong>New York City Department of Finance</strong><br>         P.O. BOX 311<br>         Maplewood, NJ 07040-0311     </li>     <li>You will need to submit copies of the required documentation with your application. Applications without all of the required documents cannot be processed.     </li>     <li>Your completed application and all required documents must be postmarked by March 15 (or the next business day if March 15 is on a weekend) for your exemption to begin on July 1 in the same year.     </li> </ul>",https://access.nyc.gov/wp-content/uploads/2017/12/VeteransExemption-InitialAppl_EN.pdf,English,
"<p>     To be eligible for Intern & Earn, you should be able to answer yes to these questions. </p> <ul>     <li>Are you 16 - 24 years old?     </li>     <li>Are you currently <strong>not</strong> enrolled in school, and <strong>not</strong> working?     </li>     <li>Did you <strong>not</strong> have an associate's or bachelor's degree?     </li> </ul>",,,,English,
<p>     You may be eligible if you can answer yes to these questions. </p> <ul>     <li>Do you live in NYC?     </li>     <li>Are you between 14 and 24 years old?     </li> </ul>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dycd/services/jobs-internships/summer-youth-employment-program-syep.page"" target=""_blank"">SYEP page</a> on the DYCD website to learn more.<br> </p>",,,English,SYEP
"<ul>     <li>Anyone 18 years or older is eligibile and can use a Workforce1 Career Center.     </li>     <li>There are no income, citizenship, or residency requirements     </li> </ul>","<p>     <strong>Visit an online resouce</strong> </p> <p>     Visit an online <a href=""http://www.nyc.gov/html/sbs/wf1/html/contact/library.shtml"" target=""_blank"">resource library</a> for commonly asked questions. </p>",,https://access.nyc.gov/wp-content/uploads/2017/03/Workforce1_Customer_Information_Fom.pdf,English,
"<ul>     <li>To find out if you're eligible for a free crib, call <a href=""tel:311"">311</a> and ask about Safe Sleep.     </li>     <li>ACS-involved families can ask their caseworker to see if they are eligible for a free crib.     </li> </ul>","<p>     <strong>Visit the Website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/doh/health/health-topics/pregnancy-sleep-safety.page"" target=""_blank"">Safe Sleep website</a> to learn more. </p>",,,English,
"<p>     This program looks at several things to decide if you are eligible. They include: </p> <ul>     <li>how much money you earn     </li>     <li>how much money you receive from benefits     </li>     <li>how many people are in your house     </li>     <li>your citizenship or immigration status     </li> </ul> <p>     With a few questions, we can help you <a href=""http://nyc.gov/accessnyc"" target=""_blank"">find out if you may be eligible</a>. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page"" target=""_blank"">SNAP website</a> to learn more about this program. </p>","<ol>     <li>Print a paper application, pick one up from a SNAP Center, or call the HRA Infoline at <a href=""tel:718-557-1399"">718-557-1399</a> to have a paper application mailed to you.     </li>     <li>Mail the application and copies of your documents to:<br>         <strong>Division of SNAP Services, Mail Application & Referral Unit (MARU),</strong><br>         P.O. Box 24510<br>         Brooklyn, NY, 11201     </li> </ol>",https://access.nyc.gov/wp-content/uploads/2018/09/SNAP_ApplandRecert_ENG.pdf,English,SNAP
"<p>     All NYC children, 18 and under, can get free meals in the summer. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.schoolfoodnyc.org/"" target=""_blank"">SchoolFood website</a> to find out more.<br> </p>",,,English,
"<p>     You may be eligible if you can answer yes to these questions. </p> <ul>     <li>Did you lose your job through no fault of your own (for example: you got laid off)?     </li>     <li>Did you work within the last 18 months?     </li>     <li>Are you ready, willing, and able to work immediately?     </li>     <li>Are you actively seeking work and keep a record (online or written) of your efforts?     </li>     <li>Do you have enough income from your most recent work to establish a claim?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.ny.gov/services/get-unemployment-assistance"" target=""_blank"">NYS Unemployment Insurance website</a> for more information<br> </p>",,,English,
<p>     All students enrolled at a school with a SBHC are eligible for health care services at their school. </p>,"<p>     <strong>Visit the website</strong><br>     Visit the <a href=""https://www.schools.nyc.gov/school-life/health-and-wellness/school-based-health-centers"" target=""_blank""><u>SBHC website</u></a> to learn about all of the available services. </p>",,,English,SBHC
<p>     Anyone who lives in NYC and is ages 10 or older is eligible to apply for an IDNYC card. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/idnyc/index.page"" target=""_blank"">IDNYC website</a> for more information on how to apply and IDNYC benefits. </p>",,,English,
<p>     Available to tenants receiving Section 8 issued by NYC Housing Preservation & Development (HPD). </p>,,,,English,FSS
"<ul>     <li>Anyone 18 years or older is eligibile and can use a Workforce1 Career Center.     </li>     <li>There are no income, citizenship, or residency requirements     </li> </ul>","<p>     <strong>Visit an online resouce</strong> </p> <p>     Visit an online <a href=""http://www.nyc.gov/html/sbs/wf1/html/contact/library.shtml"" target=""_blank"">resource library</a> for commonly asked questions. </p>",,https://access.nyc.gov/wp-content/uploads/2017/03/Workforce1_Customer_Information_Fom.pdf,English,
"<p>     To be eligible for DRIE, you should be able to answer ""Yes"" to all of these questions: </p> <ul>     <li>Are you 18 years old or older?     </li>     <li>Is your name on the lease?     </li>     <li>Is your combined household income $50,000 or less in a year?     </li>     <li>Do you spend more than one-third of your monthly income on rent?     </li>     <li>Did you have income from the following benefits?         <ul>             <li>Supplemental Security Income (SSI)             </li>             <li>Federal Social Security Disability Insurance (SSDI)             </li>             <li>U.S. Department of Veterans Affairs (VA) disability pension or compensation             </li>             <li>Disability-related Medicaid if you have received either SSI or SSDI in the past             </li>         </ul>     </li>     <li>Do you live in NYC in one of these types of housing?         <ul>             <li>a rent stabilized apartment             </li>             <li>a rent controlled apartment             </li>             <li>a Mitchell-Lama development             </li>             <li>a Limited Dividend development             </li>             <li>a redevelopment company development             </li>             <li>a Housing Development Fund Company (HDFC) Cooperative development             </li>             <li>a Section 213 Cooperative unit             </li>             <li>a rent regulated hotel or single room occupancy unit             </li>         </ul>     </li> </ul>","<p>     <strong>Visit the website</strong><br> </p> <p>     Visit <a href=""http://www1.nyc.gov/site/rentfreeze/index.page"" target=""_blank"">DRIE website</a> to learn more about this program. </p>","<ol>     <li>Print a <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/DRIE_Application_Packet_EN.pdf"" target=""_blank"">paper application</a>, pick one up from DRIE Walk-In Center: 66 John St, 3rd Flr New York, NY, 10038 (Monday - Friday 8:30 a.m. - 4:30 p.m.), or call <a href=""tel:311"">311</a> to request a paper application form mailed to you.<br>     </li>     <li>Mail the application to:<br>         <strong>New York City Department of Finance, DRIE Unit</strong><br>         59 Maiden Ln, 22nd Floor<br>         New York, NY, 10038     </li> </ol> <p>     Applications forms are available in Chinese, Haitian Creole, Korean, Russian, and Spanish. Forms in Bengali are available from the center or <a href=""tel:311"">311</a>. </p>",https://access.nyc.gov/wp-content/uploads/2017/03/DRIE_Application_Packet_EN.pdf,English,DRIE
<p>     Students who live in a school district that provides After School or Saturday meals are eligible to receive free meals. </p>,,,,English,
"<p>     There are two types of STAR credits: Basic STAR and Enhanced STAR. To be eligible for both, you should be able to answer yes to all of these questions: </p> <ul>     <li>Is the property the primary home of at least one of the owners?     </li>     <li>Do you live in one of the following types of housing?         <ul>             <li>a house             </li>             <li>a condo             </li>             <li>a cooperative apartment             </li>             <li>a manufactured home             </li>             <li>a farm house             </li>             <li>a mixed-use property, including apartment buildings (only the owner-occupied portion is eligible)             </li>         </ul>     </li> </ul> <p>     For <strong>Basic STAR</strong>, you should also be able to answer yes to this additional question: </p> <ul>     <li>Is the combined income of all owners who live in the home and their spouses $500,000 a year or less?     </li> </ul> <p>     For <strong>Enhanced STAR</strong>, you should also be able to answer yes to these additional questions: </p> <ul>     <li>Will you, or one of your siblings or spouse who live in the home, be 65 or older by December 31st?     </li>     <li>Is the combined income of all owners who live in the home and their spouses $86,000 a year or less?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://tax.ny.gov/pit/property/star/default.htm"" target=""_blank"">STAR website</a> for more information.<br> </p>",,,English,STAR
"<p>     To be eligible for Train & Earn, you should be able to answer 'yes' to these questions: </p> <ul>     <li>Are you a resident of NYC?     </li>     <li>Are you 16 \u2013 24 years old?     </li>     <li>Are you <strong>not</strong> attending school and <strong>not</strong> working?     </li>     <li>Do you meet <strong>one</strong> of these requirements:         <ul>             <li>You are a homeless or runaway youth             </li>             <li>You are a foster care youth or have aged out of foster care system             </li>             <li>You are in involved in the justice system             </li>             <li>You are a youth with a disability             </li>             <li>You are pregnant or a parent             </li>             <li>You are low-income and need additional help to enter or complete an education program or to get or hold a job             </li>         </ul>     </li> </ul> <p>     If you have additional questions about eligibility, call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a>. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/out-of-school-youth-osy-program.page"" target=""_blank"">DYCD website</a> for more information. </p>",,,English,
"<p>     To be eligible, you should be able to answer yes to these questions: </p> <ul>     <li>Are you a senior 60 years old or older?     </li>     <li>Is your income equal to or less than program income requirements?     </li> </ul> <table>     <thead>         <tr>             <th>                 Family size             </th>             <th>                 Income in a year             </th>             <th>                 Income in a month             </th>             <th>                 Income in a week             </th>         </tr>     </thead>     <tbody>         <tr>             <td>                 1             </td>             <td>                 $15,792<br>             </td>             <td>                 $1,316             </td>             <td>                 $303.69<br>             </td>         </tr>         <tr>             <td>                 2             </td>             <td>                 $21,408             </td>             <td>                 $1,784             </td>             <td>                 $411.69             </td>         </tr>         <tr>             <td>                 3             </td>             <td>                 $27,024             </td>             <td>                 $2,252             </td>             <td>                 $519.69             </td>         </tr>         <tr>             <td>                 4             </td>             <td>                 $32,640             </td>             <td>                 $2,720             </td>             <td>                 $627.69<br>             </td>         </tr>         <tr>             <td>                 5             </td>             <td>                 $38,256             </td>             <td>                 $3,188<br>             </td>             <td>                 $735.69             </td>         </tr>         <tr>             <td>                 6             </td>             <td>                 $43,872             </td>             <td>                 $3,656             </td>             <td>                 $843.69             </td>         </tr>         <tr>             <td>                 7             </td>             <td>                 $49,488             </td>             <td>                 $4,124             </td>             <td>                 $951.69             </td>         </tr>         <tr>             <td>                 8             </td>             <td>                 $55,104             </td>             <td>                 $4,592             </td>             <td>                 $1,059.69             </td>         </tr>         <tr>             <td>                 For each additional person, add:             </td>             <td>                 $5,616             </td>             <td>                 $468             </td>             <td>                 $108.00             </td>         </tr>     </tbody> </table>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.health.ny.gov/prevention/nutrition/csfp/"" target=""_blank"">CSFP website</a> for more information. </p>",,,English,CSFP
<p>     Eligibility for the Section 8/HCV programs are primarily based on how much your family earns and family size. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/nycha/section-8/about-section-8.page"" target=""_blank"">NYCHA</a> website to learn more about each program. </p>",,,English,HCV
<p>     Jobs Plus is open to all NYCHA residents old enough to work. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://opportunitynycha.org/workforce-development/jobs-plus/"" target=""_blank"">Jobs Plus website</a> to learn more about the program. </p>",,,English,
<p>     Cornerstone Programs are available to NYCHA residents who are Kindergarten-age or older. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dycd/services/after-school/cornerstone.page"" target=""_blank"">Cornerstone Programs website</a> for more information. </p>",,,English,
"<p>     Youth who are 16 - 24 years old who struggle with reading, writing, and math are eligible for this program. Youth must not be working or not in school to participate. </p>","<p>     <strong>Visit the website</strong><br>     <br>     Visit the <a href=""https://www1.nyc.gov/site/dycd/services/reading-writing/young-adult-literacy-program.page"" target=""_blank""><u>DYCD website</u></a> for more information. </p>",,,English,YALP
"<p>     There are two types of STAR credits: Basic STAR and Enhanced STAR. To be eligible for both, you should be able to answer yes to all of these questions: </p> <ul>     <li>Is the property the primary home of at least one of the owners?     </li>     <li>Do you live in one of the following types of housing?         <ul>             <li>a house             </li>             <li>a condo             </li>             <li>a cooperative apartment             </li>             <li>a manufactured home             </li>             <li>a farm house             </li>             <li>a mixed-use property, including apartment buildings (only the owner-occupied portion is eligible)             </li>         </ul>     </li> </ul> <p>     For <strong>Basic STAR</strong>, you should also be able to answer yes to this additional question: </p> <ul>     <li>Is the combined income of all owners who live in the home and their spouses $500,000 a year or less?     </li> </ul> <p>     For <strong>Enhanced STAR</strong>, you should also be able to answer yes to these additional questions: </p> <ul>     <li>Will you, or one of your siblings or spouse who live in the home, be 65 or older by December 31st?     </li>     <li>Is the combined income of all owners who live in the home and their spouses $86,000 a year or less?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://tax.ny.gov/pit/property/star/default.htm"" target=""_blank"">STAR website</a> for more information.<br> </p>",,,English,STAR
