get_help_summary,age_group,government_agency,get_help_by_calling_311,program_category,program_code,apply_in_person_call_to_action,office_locations_url,program_description,how_to_apply_summary
"<ul>     <li>Visit the <a href=""http://nyc.gov/3k"" target=""_blank""><u>3-K website</u></a> to find out more information.     </li>     <li>Visit a <a href=""http://nyc.gov/schools/welcomecenters"" target=""_blank""><u>Family Welcome Center</u></a> to learn more about 3-K programs     </li>     <li>Call <a href=""tel:311""><u>311</u></a> or text \u201c3k\u201d to <a href=""sms:877-877""><u>877-877</u></a> if you have questions about 3-K.     </li> </ul>","Toddler, Pre-Schooler",NYC Department of Education,<p>     Call 311<br>     Ask for 3-K for All.<br>     Text \u201c3k\u201d to 877-877 </p>,Education,,,,"<p>     3-K for All provides free, full-day, high-quality early childhood education for every three-year-old regardless of family income. For the 2018-2019 school year, 3-K for All will be available in School Districts 4 (East Harlem), 5 (Harlem), 7 (South Bronx), 16 (Bedford-Stuyvesant, Crown Heights), 23 (Brownsville, East New York, Ocean Hill), and 27 (Broad Channel, Howard Beach, Ozone Park, Rockaways). </p>","<p>     To request more information on applying visit the <a href=""https://maps.nyc.gov/3k/#form-page"" target=""_blank""><u>3-K for All website</u></a>. </p>"
"<ul>     <li>Call DYCD Youth Connect at <a href=""tel:1-800-246-4646""><u>1-800-246-4646</u></a> if you have questions about this program.     </li>     <li>Visit the DYCD website <a href=""https://www1.nyc.gov/site/dycd/services/reading-writing/young-adult-literacy-program.page"" target=""_blank""><u>Young Adult Literacy Program website</u></a> for more information.     </li> </ul>","Teen, Young Adult",NYC Department of Youth & Community Development,,Education,,,,"<p>     The Young Adult Literacy Program (YALP) is a free program that helps youth ages 16-24 who struggle with reading, writing, and math prepare for <a href=""http://www.acces.nysed.gov/hse/high-school-equivalency-hse""><u>high school equivalency</u></a> (HSE) classes. Participants can attend pre-HSE classes and get support at eight community-based organizations (CBOs) and eight public libraries in NYC. </p>","<p>     You can use Discover DYCD to find programs in your area. To get started:<br> </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank""><u>Discover DYCD</u></a> website.     </li>     <li>Click ""Show Advanced Search"" in the ""Basic Search"" box     </li>     <li>Select ""Literacy Group"" from the ""All Programs"" dropdown and ""Young Adult Literacy Program- Pre HSE Instruction"" in the ""All Sub-programs"" dropdown     </li> </ol>"
"<ul>     <li>Visit the REES office at 787 Atlantic Ave., Brooklyn, NY, 11238 to get help in person.     </li>     <li>Visit the <a href=""http://opportunitynycha.org/"" target=""_blank"">Opportunity NYCHA website</a> to learn more about REES services.     </li>     <li>Call the REES hotline at <a href=""tel:718-289-8100"">718-289-8100</a><a href=""tel:718-289-8100%E2%80%8B""></a> to learn more.     </li> </ul>","Caregiver, Young Adult",NYC Housing Authority,<p>     <strong>Call 311</strong><br> </p> <p>     Ask for REES assistance. </p>,Work,S2R024,,,"<p>     REES helps NYCHA residents improve their financial futures. If you live in NYCHA housing, you can get help finding a job, taking classes, or starting a business. </p>","<ul>     <li>Information sessions are held every Tuesday and Thursday at 8:30 a.m at the Brooklyn office: 787 Atlantic Ave., Brooklyn, NY 11238.     </li>     <li>You can RSVP for an info session <a href=""http://opportunitynycha.org/events/"" target=""_blank"">online</a> or by calling the REES hotline at <a href=""tel:718-289-8100"">718-289-8100</a>.     </li> </ul>"
"<ul>     <li>Call the HPD at <a href=""tel:1-212-863-7200"">212-863-7200</a> to learn more and apply     </li>     <li>Visit <a href=""http://www1.nyc.gov/site/hpd/section-8/tenants-family-self-sufficiency.page"" target=""_blank"">Family Self-Sufficiency website</a> for program details and FAQs     </li> </ul>",Caregiver,NYC Housing Preservation & Development/NYC Housing Authority,,Family services,,,,"<p>     People who live in Section 8 housing can get help with their case, education, and finding a job. The Family Self-Sufficiency Program (FSS) also helps people save money once they start earning more. </p>","<p>     You can start the enrollment process by doing one of the following: </p> <ul>     <li>Call HPD at <a href=""tel:1-212-863-7200"">212-863-7200</a> or email <a href=""mailto:FSS.nyc.gov"">FSS.nyc.gov</a> to make an appointment with an HPD case manager     </li>     <li>Fill out the <a href=""https://www1.nyc.gov/site/hpd/section-8/fss-interest-form.page"" target=""_blank"">FSS Interest Form</a>     </li>     <li>Attend an enrollment event (advertised to HPD Section 8 voucher holders)     </li> </ul>"
"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page"" target=""_blank"">Veterans' Exemption website</a> for more information.     </li>     <li>Visit a <a href=""http://www1.nyc.gov/site/finance/pay-now/person.page"" target=""_blank"">Department of Finance office</a> to get help in person.     </li>     <li>Call <a href=""tel:311"">311</a> and ask about Veterans' Exemption to if you have questions about the program.     </li>     <li>Get help by mailing the Department of Finance:<br>         <strong>NYC Department of Finance</strong><br>         Correspondence Unit<br>         One Centre Street, 22nd Floor<br>         New York, NY 10007     </li> </ul>",Caregiver,NYC Department of Finance,<p>     <strong>Call 311</strong> </p> <p>     Ask about Veterans' Exemption. </p>,Cash &amp; expenses,S2R018,,,"<p>     Qualified Veterans, spouses or their un-remarried surviving spouses; parents of soldiers who died in the line of duty (Gold Star parent) can get a reduction to their property tax. </p>","<ul>     <li>Apply by mail: <a href=""https://access.nyc.gov/wp-content/uploads/2017/12/VeteransExemption-InitialAppl_EN.pdf"" target=""_blank"">Download the initial exemption application</a> form and mail it to:<br>         New York City Department of Finance<br>         P.O.BOX 311 Maplewood<br>         NJ 07040-0311     </li> </ul> <ul>     <li>You need to submit copies of all the required documents (DD-214 or separation papers; disability rating) with your application. Missing documents will cause delays in processing your application.<br>         <br>     </li>     <li>Your completed application and all required documents must be postmarked by March 15 (or the next business day if March 15 is on a weekend) for your exemption to begin on July 1 in the same year.     </li> </ul>"
"<ul>     <li>Call DYCD Youth Connect at <a href=""tel:1-800-246-4646""><u>1-800-246-4646</u></a> if you have questions about this program.     </li>     <li>Visit the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/young-adult-internship-program-yaip.page"" target=""_blank""><u>DYCD website</u></a> for more information.     </li> </ul>","Teen, Young Adult",NYC Department of Youth & Community Development,,Work,,,,<p>     Intern & Earn (formerly the Young Adult Internship Program) helps 16-24 year olds who are not working and not in school get short-term paid internships. Youth participate in 14 weeks of internships and work-readiness workshops. Youth also get help with job placement or enrollment in school or a job training program for up to nine months after the program. </p>,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank""><u>Discover DYCD</u></a> website.     </li>     <li>Click ""Show Advanced Search"" in the ""Basic Search"" box     </li>     <li>Select ""Young Adult Internship Programs"" from the ""All Programs"" dropdown     </li> </ol>"
"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/dycd/services/jobs-internships/summer-youth-employment-program-syep.page"" target=""_blank"">SYEP page</a> on the DYCD website to learn more.     </li>     <li>Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> for more information.     </li> </ul>","Teen, Young Adult",NYC Department of Youth & Community Development,<p>     <strong>Call 311</strong> </p> <p>     Ask for Summer Youth Employment Program assistance. </p>,Work,S2R030,Find a Community Organization,https://access.nyc.gov/locations/?&programs=6885,"<p>     If you are between the ages of 14 and 24, you can get a summer job through SYEP. There are jobs in government, museums, sports, and more. For more help, SYEP leads workshops on finding a job and understanding your finances. </p>","<ul>     <li>Apply to <a href=""https://application.nycsyep.com/"" target=""_blank"">SYEP online</a> during the application period (February - March). The application for SYEP will only be available during that time.     </li>     <li>Youth can also apply at their community-based organization.     </li>     <li>Participants are selected by lottery for the program.     </li> </ul>"
"<ol>     <li>For commonly asked questions, visit an online <a href=""http://www.nyc.gov/html/sbs/wf1/html/contact/library.shtml"" target=""_blank"">resource library</a>.     </li>     <li>         <a href=""http://www.nyc.gov/html/sbs/wf1/html/contact/contact_form.shtml"" target=""_blank"">Email</a> your Workforce1 questions.     </li>     <li>Visit a <a href=""https://maps.nyc.gov/sbs"" target=""_blank"">Workforce1 Career Center</a> near you.     </li>     <li>Call Telephone Relay System at <a href=""tel:800-662-1220"">800-662-1220</a> if you are hearing or speech-impaired.<br>     </li> </ol>","Caregiver, Young Adult",NYC Department of Small Business Services,<p>     <strong>Call 311</strong> </p> <p>     Ask for Workforce1 if you need help finding a program. </p>,Work,S2R026,Find a center,https://maps.nyc.gov/sbs,"<p>     Workforce1 is a service that prepares and connects qualified candidates to job opportunities in New York City. The service makes strong matches for both job seekers and employers that are hiring by using a unique combination of recruitment expertise, industry knowledge, and skill-building workshops to strengthen candidates\u2019 employment prospects. </p>","<ul>     <li>Apply or register <a href=""http://www.nyc.gov/html/sbs/wf1/html/register/register_now.shtml"" target=""_blank"">online</a>     </li>     <li>Apply or register in-person at <a href=""https://maps.nyc.gov/sbs"" target=""_blank"">Workforce1 Center locations</a>     </li> </ul>"
,"Caregiver, Baby",NYC Department of Health & Mental Hygiene/NYC Administration for Children's Services,"<p>     <strong>Call 311</strong> </p> <p>     Call <a href=""tel:311"">311</a> and ask about Safe Sleep. </p>",Family services,,,,<p>     Sleeping the wrong way can be dangerous for babies. Get information on the safest way for your baby to sleep from the Safe Sleep Initiative. Low-income families may also be eligible to get a free crib. </p>,"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/doh/health/health-topics/pregnancy-sleep-safety.page"" target=""_blank"">Safe Sleep website</a> to learn more.     </li>     <li>Call <a href=""tel:311"">311</a> for more information and find out how you can receive services.     </li> </ul>"
"<ul>     <li>Visit the <a href=""https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page"" target=""_blank"">SNAP website</a> to find out more information.     </li>     <li>Call the HRA Infoline at <a href=""tel:718-557-1399"">718-557-1399</a> for assistance applying for SNAP.     </li>     <li>Visit a <a href=""https://access.nyc.gov/locations/?programs=6887"" target=""_blank"">SNAP center near</a> or <a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/snap/CBO_EASE_SITES.pdf"" target=""_blank"">your local community-based organization</a> (CBO) to get help in person.     </li> </ul>",Everyone,NYC Human Resources Administration,<p>     <strong>Call 311</strong> </p> <p>     Ask for SNAP. </p>,Food,S2R007,Find a location,https://access.nyc.gov/locations/?programs=6887,<p>     Get help paying for groceries with SNAP. SNAP benefits are sometimes called food stamps. They come on a debit card that you can use at many grocery stores and farmers markets. </p>,"<p>     There are a number of ways you can apply for SNAP: </p> <ul>     <li>Apply online using <a href=""https://a069-access.nyc.gov/ACCESSNYC/application.do"" target=""_blank"">ACCESS HRA</a>.     </li>     <li>Apply in person at any <a href=""http://www1.nyc.gov/site/hra/locations/locations.page"" target=""_blank"">SNAP Center</a> or at a <a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/snap/CBO_EASE_SITES.pdf"" target=""_blank"">participating community-based organization</a> (CBO).     </li>     <li>If you are applying for Cash Assistance you may apply for SNAP Benefits at the same time at an <a href=""https://www1.nyc.gov/site/hra/locations/job-locations.page"" target=""_blank"">HRA Job Center</a>.     </li>     <li>Apply by mail or fax: <a href=""https://access.nyc.gov/wp-content/uploads/2018/09/SNAP_ApplandRecert_ENG.pdf"" target=""_blank"">download the application</a> or call the HRA Infoline at <a href=""tel:718-557-1399"">718-557-1399</a> to have an application mailed to you. Fax your competed application to 917-639-1111 or mail it to:<br>         <strong>Division of SNAP Services, Mail Application & Referral Unit (MARU)</strong><strong><br></strong> P.O. Box 24510<br>         Brooklyn, NY, 11201     </li> </ul>"
"<ul>     <li>Find <a href=""http://www.schoolfoodnyc.org/sch_search/summermeals.aspx"" target=""_blank"">Free Summer Meals locations</a>.     </li>     <li>Visit the <a href=""http://www.schoolfoodnyc.org/"" target=""_blank"">SchoolFood website</a> to find out more.     </li>     <li>Call the SchoolFood Summer meals team at <a href=""tel:718-707-4398"">718-707-4398</a> if you have questions.     </li>     <li>Call the SchoolFood\u2019s Help Desk at <a href=""tel:877-363-6325"">877-363-6325</a> if you have questions.     </li> </ul>","Grade-Schooler, Pre-Teen, Teen, Young Adult",NYC Department of Education,<p>     <strong>Call 311</strong><br> </p> <p>     Ask for Summer Meals assistance. </p>,Food,S2R023,,,"<p>     During the summer, children can get free breakfast and lunch. Locations include schools, libraries, community pools, and NYCHA buildings. There are also food trucks at some beaches, parks, and playgrounds. </p>","<p>     There is no registration required to enjoy free breakfast or lunch at one of our many <a href=""http://www.schoolfoodnyc.org/sch_search/summermeals.aspx"" target=""_blank"">community locations</a>. Children 18 years and younger just need to walk in to one of our many locations. </p>"
"<ul>     <li>Visit the <a href=""http://www.ny.gov/services/get-unemployment-assistance"" target=""_blank"">NYS Unemployment Insurance website</a> for more information.     </li>     <li>Call <a href=""tel:888-469-7365"">888-469-7365</a> if you have questions about unemployment benefits.     </li>     <li>         <a href=""https://www.labor.ny.gov/secure/contact/"" target=""_blank"">Email NYS unemployment</a> to get more information.     </li> </ul>","Caregiver, Young Adult",NYS Department of Labor,<p>     <strong>Call 311</strong><br> </p> <p>     Ask for New York State Unemployment Insurance assistance. </p>,Cash &amp; expenses,S2R021,,,"<p>     If you lost your job and it was not your fault, you might be able to get unemployment insurance. Unemployment insurance will give you some money, based on what you earned. To get insurance, you must be looking for a new job. </p>","<p>     To file for unemployment online: </p> <ol>     <li>Create an account on <a href=""https://applications.labor.ny.gov/IndividualReg/?TYPE=33554433&amp;REALMOID=06-b0d30d94-a224-104a-b476-839b26b50cb3&amp;GUID=&amp;SMAUTHREASON=0&amp;METHOD=GET&amp;SMAGENTNAME=%24SM%24ThT5WVUR1XkGiy4UhP34jv09ppEYsY5V%2b%2bhuQYmYxeVseon5yi64QNm3b%2fN7fNeC&amp;TARGET=%24SM%24HTTPS%3a%2f%2fapplications%2elabor%2eny%2egov%2fIndividual%2f"" target=""_blank"">NY.gov</a>.         <ol>             <li>                 <a href=""http://www.labor.ny.gov/ui/claimantinfo/sign-in-faq.shtm"" target=""_blank"">Learn more</a> about how to get a NY.gov ID.             </li>         </ol>     </li>     <li>Login with your new NY.gov ID.     </li>     <li>Follow the instructions to file a claim.     </li>     <li>Submit your application.     </li>     <li>The Department of Labor will evaluate your claim for UI benefits and decide if you qualify.     </li>     <li>You can only file online during the following times:         <ol>             <li>Monday - Thursday: 7:30 a.m - 7:30 p.m             </li>             <li>Friday: 7:30 a.m - 5:00 p.m.             </li>             <li>Weekends: Saturday 12:00 a.m - Sunday 7:00 p.m.             </li>         </ol>     </li> </ol> <p>     You may also apply over the phone by calling the NYS Department of Labor at <a href=""tel:888-209-8124"">888-209-8124</a>, Monday \u2013 Friday, 8:00 a.m - 5:00 p.m. </p>"
"<ul>     <li>Visit the <a href=""https://www.schools.nyc.gov/school-life/health-and-wellness/school-based-health-centers"" target=""_blank""><u>SBHC website</u></a> to learn about all of the available services.     </li>     <li>Email <a href=""mailto:smelendez7.nyc.gov""><u>Solluz Melendez</u></a>, School-Based Health Centers Coordinator, if you have questions about this program.     </li> </ul>","Grade-Schooler, Pre-Teen, Teen",NYC Department of Education/NYC Department of Health & Mental Hygiene,,Health,,,,<p>     Students can get easy access to health care at their school. Services include: </p> <ul>     <li>medical exams     </li>     <li>eye exams     </li>     <li>asthma screenings     </li>     <li>help with medicine     </li> </ul> <p>     Some SBHCs also offer mental health care and reproductive care for high-schoolers. </p>,"<p>     To get free health care, students must have their parents or guardians fill out and return a consent form. </p> <ul>     <li>         <a href=""http://schools.nyc.gov/NR/rdonlyres/E298C16B-55F0-4DDD-BB02-2B0524250986/170518/AttachmentD_ParentalConsentEnglish_082214_GradesPK.doc""><u>Pre-K to 8th grade</u></a> <a href=""http://schools.nyc.gov/NR/rdonlyres/E298C16B-55F0-4DDD-BB02-2B0524250986/170518/AttachmentD_ParentalConsentEnglish_082214_GradesPK.doc""><u>consent form</u></a>     </li>     <li>         <a href=""http://schools.nyc.gov/NR/rdonlyres/E298C16B-55F0-4DDD-BB02-2B0524250986/170535/AttachmentD_ParentalConsentEnglish_082214_Grades91.doc""><u>9th - 12th grade</u></a> <a href=""http://schools.nyc.gov/NR/rdonlyres/E298C16B-55F0-4DDD-BB02-2B0524250986/170535/AttachmentD_ParentalConsentEnglish_082214_Grades91.doc""><u>consent form</u></a>     </li> </ul> <p>     Students do not need to have health insurance to enroll in SBHC. If the student does have insurance, include the information on the consent form. </p>"
"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/idnyc/index.page"" target=""_blank"">IDNYC website</a> for more information.     </li>     <li>Call <a href=""tel:311"">311</a> to find out more about IDNYC.     </li>     <li>Visit an <a href=""https://access.nyc.gov/locations/?programs=6872"" target=""_blank"">IDNYC enrollment center near</a> you to get help in person.     </li>     <li>         <a href=""http://www1.nyc.gov/site/idnyc/contact/feedback.page"" target=""_blank"">Email IDNYC</a> to get your questions answered.     </li> </ul>","Caregiver, Teen, Young Adult",NYC Human Resources Administration,<p>     <strong>Call 311</strong> </p> <p>     Ask about IDNYC. </p>,City ID card,S2R032,Find an enrollment center,https://access.nyc.gov/locations/?programs=6872,"<p>     IDNYC is a free government-issued photo ID card for people over 10 years old who live in NYC. It can help you get City services, museum memberships, and more. </p>","<ul>     <li>Use the <a href=""http://www1.nyc.gov/site/idnyc/card/documentation.page"" target=""_blank"">IDNYC Document Calculator</a> to make sure you have the right documents to apply.     </li>     <li>Find <a href=""http://www1.nyc.gov/site/idnyc/card/locations.page"" target=""_blank"">an enrollment center</a> near you and <a href=""http://www1.nyc.gov/site/idnyc/card/make-an-appointment.page"" target=""_blank"">book your appointment online</a>. Appointments are required.     </li>     <li>Print and fill out the application form <a href=""https://access.nyc.gov/wp-content/uploads/2018/08/IDNYC_Appl-and-Instr_10-13_EN.pdf"" target=""_blank"">for 10-13 year olds</a> and <a href=""https://access.nyc.gov/wp-content/uploads/2018/08/IDNYC_Appl-and-Instr_14andOlder_EN.pdf"" target=""_blank"">for 14 years and older</a> ahead of time and bring it to your appointment, or fill it out at your appointment.     </li>     <li>Applicants 14 and older can also <a href=""http://www1.nyc.gov/site/idnyc/card/start-your-application.page"" target=""_blank"">submit applications online</a> before going to an enrollment center.     </li>     <li>Collect your documents and bring them with you to your appointment. Your ID photo will be taken at the appointment.     </li> </ul>"
"<ul>     <li>Call the HPD at <a href=""tel:1-212-863-7200"">212-863-7200</a> to learn more and apply     </li>     <li>Visit <a href=""http://www1.nyc.gov/site/hpd/section-8/tenants-family-self-sufficiency.page"" target=""_blank"">Family Self-Sufficiency website</a> for program details and FAQs     </li> </ul>",Caregiver,NYC Housing Preservation & Development/NYC Housing Authority,,Family services,,,,"<p>     People who live in Section 8 housing can get help with their case, education, and finding a job. The Family Self-Sufficiency Program (FSS) also helps people save money once they start earning more. </p>","<p>     You can start the enrollment process by doing one of the following: </p> <ul>     <li>Call HPD at <a href=""tel:1-212-863-7200"">212-863-7200</a> or email <a href=""mailto:FSS.nyc.gov"">FSS.nyc.gov</a> to make an appointment with an HPD case manager     </li>     <li>Fill out the <a href=""https://www1.nyc.gov/site/hpd/section-8/fss-interest-form.page"" target=""_blank"">FSS Interest Form</a>     </li>     <li>Attend an enrollment event (advertised to HPD Section 8 voucher holders)     </li> </ul>"
"<ol>     <li>For commonly asked questions, visit an online <a href=""http://www.nyc.gov/html/sbs/wf1/html/contact/library.shtml"" target=""_blank"">resource library</a>.     </li>     <li>         <a href=""http://www.nyc.gov/html/sbs/wf1/html/contact/contact_form.shtml"" target=""_blank"">Email</a> your Workforce1 questions.     </li>     <li>Visit a <a href=""https://maps.nyc.gov/sbs"" target=""_blank"">Workforce1 Career Center</a> near you.     </li>     <li>Call Telephone Relay System at <a href=""tel:800-662-1220"">800-662-1220</a> if you are hearing or speech-impaired.<br>     </li> </ol>","Caregiver, Young Adult",NYC Department of Small Business Services,<p>     <strong>Call 311</strong> </p> <p>     Ask for Workforce1 if you need help finding a program. </p>,Work,S2R026,Find a center,https://maps.nyc.gov/sbs,"<p>     Workforce1 is a service that prepares and connects qualified candidates to job opportunities in New York City. The service makes strong matches for both job seekers and employers that are hiring by using a unique combination of recruitment expertise, industry knowledge, and skill-building workshops to strengthen candidates\u2019 employment prospects. </p>","<ul>     <li>Apply or register <a href=""http://www.nyc.gov/html/sbs/wf1/html/register/register_now.shtml"" target=""_blank"">online</a>     </li>     <li>Apply or register in-person at <a href=""https://maps.nyc.gov/sbs"" target=""_blank"">Workforce1 Center locations</a>     </li> </ul>"
"<ul>     <li>Visit <a href=""http://www1.nyc.gov/site/rentfreeze/index.page"" target=""_blank"">DRIE website</a> <a href=""http://nyc.gov/rentfreeze""></a>to learn more about this program     </li>     <li>         <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page"" target=""_blank"">Email DRIE</a> for more information     </li>     <li>Call <a href=""tel:311"">311</a> and ask for a DRIE specialist or <a href=""tel:212-639-9675"">212-639-9675</a> if you have a hard time hearing     </li>     <li>Visit the DRIE walk-in center:     </li>     <li>66 John St, 3rd Floor<br>         New York, NY, 10038<br>         Open Monday - Friday, 8:30 a.m. - 4:30 p.m.     </li> </ul>",Caregiver,NYC Department of Finance / NYC Housing Preservation and Development,<p>     <strong>Call 311</strong> </p> <p>     Ask for DRIE specialists. </p>,Housing,S2R005,Find the office,https://access.nyc.gov/location/scriedrie-walk-in-center/,"<p>     DRIE provides a rent freeze to tenants with disabilities. If their rent goes up, tenants with DRIE do not have to pay the higher rate. The City pays the difference between the current and future rent. </p>","<ul>     <li>Apply by mail: <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/DRIE_Application_Packet_EN.pdf"" target=""_blank"">Download the application</a> or pick one up from a DRIE walk-in center and send it and your personal documents to:<br>         New York City Department of Finance, DRIE Unit<br>         59 Maiden Ln, 22nd Floor<br>         New York, NY 10038     </li> </ul> <ul>     <li>Apply in person at the DRIE walk-in center:<br>         66 John St, 3rd Floor<br>         New York, NY 10038<br>         Open Monday - Friday, 8:30 a.m. - 4:30 p.m.     </li> </ul> <p>     SCRIE/DRIE online applications are temporarily unavailable while we work on a new and improved application. Please use the forms or walk-in location to apply. </p>"
"<ul>     <li>Contact SchoolFood at <a href=""tel:718-707-4320"">718-707-4320</a> for questions about the program     </li>     <li>Visit the <a href=""http://www.schoolfoodnyc.org/OurPrograms/breakfast.htm#Saturday"" target=""_blank"">SchoolFood website</a> for more information     </li> </ul>","Pre-Schooler, Grade-Schooler, Pre-Teen",NYC Department of Education,,Food,,,,"<p>     Some schools give free meals to students in the evening and on Saturdays. Through this program, children in after school and Saturday programs can get the nutrition they need. </p>","<ul>     <li>Speak to your school\u2019s administration or call SchoolFood at <a href=""tel:718-707-4320"">718-707-4320</a> to find out if your school offers after school or Saturday meal programs     </li>     <li>Community-based organizations (CBOs) and principals should apply for an After school or Saturday Meals program on the <a href=""http://www.opt-osfns.org/osfns/Resources/SpecialPrograms/Login.aspx"" target=""_blank"">Department of Education website</a>     </li> </ul>"
"<ul>     <li>Visit the <a href=""https://tax.ny.gov/pit/property/star/default.htm"" target=""_blank"">STAR website</a> for more information.     </li>     <li>Call <a href=""tel:311"">311</a> to find out more.     </li>     <li>Email the <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page"" target=""_blank"">NYC Department of Finance</a> if you have questions about STAR.     </li> </ul>",Caregiver,NYS Department of Taxation/ NYC Department of Finance,<p>     <strong>Call 311</strong> </p> <p>     Ask about the School Tax Relief Program. </p>,Cash &amp; expenses,S2R012,,,<p>     STAR provides property tax relief to New York State\u2019s homeowners. It lowers the tax burden on New York residents who live in school districts.<br> </p>,"<p>     You can <a href=""https://www8.tax.ny.gov/STRP/strpStart"" target=""_blank"">register for the STAR credit online</a> in just a few minutes. Your application will be reviewed automatically to see if you are eligible. </p>"
"<ul>     <li>Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> if you have questions about this program.     </li>     <li>Visit the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/out-of-school-youth-osy-program.page"" target=""_blank"">DYCD website</a> for more information.     </li> </ul>","Teen, Young Adult",NYC Department of Youth & Community Development,,Work,,,,"<p>     Train & Earn is a short-term career pathway program for low-income youth, who are not working and not in school. Train & Earn helps youth improve their job skills and find permanent work. It also provides High School Equivalency (HSE) prep and support services. </p> <p>     Youth receive up to 12 months of follow-up services after finishing the program. </p>","<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD</a> website.     </li>     <li>Click \u201dShow Advanced Search"" in the ""Basic Search"" box.     </li>     <li>Select ""Youth Workforce Development"" from the ""All Programs"" dropdown and an ""OSY"" program from the ""All Sub-programs"" dropdown.     </li> </ol>"
"<ul>     <li>Visit the <a href=""https://www.health.ny.gov/prevention/nutrition/csfp/"" target=""_blank"">CSFP website</a> for more information.     </li>     <li>Call a food distribution site near you to learn more.         <ul>             <li>The Bronx: <a href=""tel:917-982-2564"">917-982-2564</a>             </li>             <li>Brooklyn: <a href=""tel:718-498-9208"">718-498-9208</a>             </li>             <li>Queens <a href=""tel:718-523-2220"">718-523-2220</a>             </li>             <li>Long Island <a href=""tel:516-623-4568"">516-623-4568</a>             </li>         </ul>     </li>     <li>Visit a <a href=""https://access.nyc.gov/locations/?programs=6862"" target=""_blank"">CSFP site</a> near you to get help in person.     </li> </ul> <p>     <a href=""tel:718-523-2220""></a> </p>",Caregiver,NYC Department of Health,<p>     <strong>Call 311</strong> </p> <p>     Ask for Commodity Supplemental Food Program. </p>,Food,S2R027,Find a site,https://access.nyc.gov/locations/?programs=6862,"<p>     CSFP gives healthy food to low-income seniors. People in the program get a monthly package of fruit, vegetables, meat or fish, pasta or rice, and cereal. CSFP gives advice on cooking and nutrition. CSFP can also connect you to health care and social services. </p>","<p>     Visit a <a href=""https://access.nyc.gov/locations/?programs=6862"" target=""_blank"">food distribution site</a> near you for application information. </p>"
"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/nycha/section-8/about-section-8.page"" target=""_blank"">NYCHA</a> website to learn more about each program.     </li>     <li>Call NYCHA at <a href=""tel:718-707-7771"">718-707-7771</a> if you have questions about these programs.     </li>     <li>Visit a NYCHA Section 8 walk-in center:         <ul>             <li>Bronx: 478 East Fordham Rd, 2nd Flr, Bronx, NY 10458             </li>             <li>Brooklyn: 787 Atlantic Ave, 2nd Flr, Brooklyn, NY 11238             </li>         </ul>     </li> </ul>",Everyone,NYC Housing Authority,<p>     <strong>Call 311</strong><br> </p> <p>     Ask for Section 8 assistance. </p>,Housing,S2R013,,,"<p>     Section 8 helps low- and-moderate-income families rent homes. Generally, families pay no more than 40 percent of their monthly income toward their rent share. NYCHA pays the remaining amount to the owner on the family's behalf.<br> </p>","<ul>     <li>New Section 8/HCV applications are not being accepted at this time. The public will be notified when applications are being accepted again.     </li>     <li>If you previously submitted a NYCHA Section 8 application, log on to the <a href=""https://on.nyc.gov/nycha-ss"" target=""_blank"">Self-Service Portal</a> to confirm the receipt of your NYCHA application.     </li> </ul>"
"<ul>     <li>Visit the <a href=""http://opportunitynycha.org/workforce-development/jobs-plus/"" target=""_blank"">Jobs Plus website</a> to learn more about the program.     </li>     <li>Call a <a href=""http://opportunitynycha.org/workforce-development/jobs-plus/"" target=""_blank"">Jobs Plus site</a> near you for questions about a specific location.     </li> </ul>","Teen, Young Adult",NYC Housing Authority,,Work,,,,"<p>     Jobs Plus is an employment program for working-age NYCHA residents. It helps participants find work and keep more of their earned income. Jobs Plus offers job-related services, help with finances, and community support. </p>","<p>     To apply for Jobs Plus, <a href=""http://opportunitynycha.org/workforce-development/jobs-plus/"" target=""_blank"">contact a site near you</a>. </p>"
